Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,0,0,0,0,0,0
25-Mar-20,0,0,0,0,0,0
26-Mar-20,1,1,0,0,0,0
27-Mar-20,5,6,0,0,0,0
28-Mar-20,3,9,0,0,0,0
29-Mar-20,0,9,0,0,0,0
30-Mar-20,1,10,0,0,0,0
31-Mar-20,0,10,0,0,0,0
01-Apr-20,0,10,0,0,0,0
02-Apr-20,0,10,0,0,0,0
03-Apr-20,0,10,0,0,0,0
04-Apr-20,0,10,0,0,0,0
05-Apr-20,0,10,0,0,0,0
06-Apr-20,0,10,0,0,0,0
07-Apr-20,0,10,0,0,0,0
08-Apr-20,1,11,0,0,0,0
09-Apr-20,0,11,0,0,10,10
10-Apr-20,0,11,0,0,0,10
11-Apr-20,0,11,0,0,0,10
12-Apr-20,0,11,0,0,0,10
13-Apr-20,0,11,0,0,0,10
14-Apr-20,0,11,0,0,0,10
15-Apr-20,0,11,0,0,0,10
16-Apr-20,0,11,0,0,1,11
17-Apr-20,1,12,0,0,0,11
18-Apr-20,2,14,0,0,0,11
19-Apr-20,1,15,0,0,0,11
20-Apr-20,1,16,0,0,0,11
21-Apr-20,1,17,0,0,0,11
22-Apr-20,1,18,0,0,0,11
23-Apr-20,4,22,0,0,0,11
24-Apr-20,7,29,0,0,0,11
25-Apr-20,4,33,0,0,0,11
26-Apr-20,0,33,0,0,0,11
27-Apr-20,0,33,0,0,0,11
28-Apr-20,0,33,0,0,4,15
29-Apr-20,0,33,0,0,0,15
30-Apr-20,0,33,0,0,1,16
01-May-20,0,33,0,0,0,16
02-May-20,0,33,0,0,10,26
03-May-20,0,33,0,0,6,32
04-May-20,0,33,0,0,0,32
05-May-20,0,33,0,0,0,32
06-May-20,0,33,0,0,0,32
07-May-20,0,33,0,0,1,33
08-May-20,0,33,0,0,0,33
09-May-20,0,33,0,0,0,33
10-May-20,0,33,0,0,0,33
11-May-20,0,33,0,0,0,33
12-May-20,0,33,0,0,0,33
13-May-20,0,33,0,0,0,33
14-May-20,0,33,0,0,0,33
15-May-20,0,33,0,0,0,33
16-May-20,0,33,0,0,0,33
17-May-20,0,33,0,0,0,33
18-May-20,0,33,0,0,0,33
19-May-20,0,33,0,0,0,33
20-May-20,0,33,0,0,0,33
21-May-20,0,33,0,0,0,33
22-May-20,0,33,0,0,0,33
23-May-20,0,33,0,0,0,33
24-May-20,0,33,0,0,0,33
25-May-20,0,33,0,0,0,33
26-May-20,0,33,0,0,0,33
27-May-20,0,33,0,0,0,33
28-May-20,0,33,0,0,0,33
29-May-20,0,33,0,0,0,33
30-May-20,0,33,0,0,0,33
31-May-20,0,33,0,0,0,33
01-Jun-20,0,33,0,0,0,33
02-Jun-20,0,33,0,0,0,33
03-Jun-20,0,33,0,0,0,33
04-Jun-20,0,33,0,0,0,33
05-Jun-20,0,33,0,0,0,33
06-Jun-20,0,33,0,0,0,33
07-Jun-20,0,33,0,0,0,33
08-Jun-20,0,33,0,0,0,33
09-Jun-20,1,34,0,0,0,33
10-Jun-20,1,35,0,0,0,33
11-Jun-20,3,38,0,0,0,33
12-Jun-20,0,38,0,0,0,33
13-Jun-20,0,38,0,0,0,33
14-Jun-20,2,40,0,0,0,33
15-Jun-20,1,41,0,0,0,33
16-Jun-20,3,44,0,0,0,33
17-Jun-20,0,44,0,0,0,33
18-Jun-20,1,45,0,0,2,35
19-Jun-20,2,47,0,0,0,35
20-Jun-20,0,47,0,0,0,35
21-Jun-20,1,48,0,0,2,37
22-Jun-20,0,48,0,0,0,37
23-Jun-20,2,50,0,0,3,40
24-Jun-20,6,56,0,0,1,41
25-Jun-20,2,58,0,0,0,41
26-Jun-20,14,72,0,0,2,43
27-Jun-20,0,72,0,0,0,43
28-Jun-20,11,83,0,0,2,45
29-Jun-20,7,90,0,0,0,45
30-Jun-20,7,97,0,0,0,45
01-Jul-20,3,100,0,0,5,50
02-Jul-20,9,109,0,0,1,51
03-Jul-20,7,116,0,0,3,54
04-Jul-20,3,119,0,0,12,66
05-Jul-20,6,125,0,0,6,72
06-Jul-20,16,141,0,0,2,74
07-Jul-20,6,147,0,0,0,74
08-Jul-20,2,149,0,0,0,74
09-Jul-20,7,156,0,0,9,83
10-Jul-20,0,156,0,0,9,92
11-Jul-20,0,156,0,0,0,92
