Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,1.0,1,0.0,0,1.0,1
27-Mar-20,4.0,5,0.0,0,4.0,5
28-Mar-20,3.0,8,0.0,0,3.0,8
29-Mar-20,0.0,8,0.0,0,0.0,8
30-Mar-20,1.0,9,0.0,0,1.0,9
31-Mar-20,0.0,9,0.0,0,0.0,9
01-Apr-20,0.0,9,0.0,0,0.0,9
02-Apr-20,0.0,9,0.0,0,0.0,9
03-Apr-20,0.0,9,0.0,0,0.0,9
04-Apr-20,0.0,9,0.0,0,0.0,9
05-Apr-20,0.0,9,0.0,0,0.0,9
06-Apr-20,0.0,9,0.0,0,0.0,9
07-Apr-20,0.0,9,0.0,0,0.0,9
08-Apr-20,1.0,10,0.0,0,1.0,10
09-Apr-20,0.0,10,0.0,0,0.0,10
10-Apr-20,0.0,10,0.0,0,0.0,10
11-Apr-20,0.0,10,0.0,0,0.0,10
12-Apr-20,0.0,10,0.0,0,0.0,10
13-Apr-20,0.0,10,0.0,0,0.0,10
14-Apr-20,0.0,10,0.0,0,0.0,10
15-Apr-20,0.0,10,0.0,0,0.0,10
16-Apr-20,0.0,10,0.0,0,0.0,10
17-Apr-20,1.0,11,0.0,0,0.0,10
18-Apr-20,2.0,13,0.0,0,0.0,10
19-Apr-20,1.0,14,0.0,0,0.0,10
20-Apr-20,0.0,14,0.0,0,0.0,10
21-Apr-20,1.0,15,0.0,0,0.0,10
22-Apr-20,1.0,16,0.0,0,0.0,10
23-Apr-20,4.0,20,0.0,0,0.0,10
24-Apr-20,7.0,27,0.0,0,0.0,10
25-Apr-20,5.0,32,0.0,0,0.0,10
26-Apr-20,0.0,32,0.0,0,0.0,10
27-Apr-20,0.0,32,0.0,0,0.0,10
28-Apr-20,0.0,32,0.0,0,4.0,14
29-Apr-20,0.0,32,0.0,0,0.0,14
30-Apr-20,0.0,32,0.0,0,1.0,15
01-May-20,0.0,32,0.0,0,0.0,15
02-May-20,0.0,32,0.0,0,10.0,25
03-May-20,0.0,32,0.0,0,6.0,31
04-May-20,0.0,32,0.0,0,0.0,31
05-May-20,0.0,32,0.0,0,0.0,31
06-May-20,0.0,32,0.0,0,0.0,31
07-May-20,0.0,32,0.0,0,1.0,32
08-May-20,0.0,32,0.0,0,0.0,32
09-May-20,0.0,32,0.0,0,0.0,32
10-May-20,0.0,32,0.0,0,0.0,32
11-May-20,0.0,32,0.0,0,0.0,32
12-May-20,0.0,32,0.0,0,0.0,32
13-May-20,0.0,32,0.0,0,0.0,32
14-May-20,0.0,32,0.0,0,0.0,32
15-May-20,0.0,32,0.0,0,0.0,32
