Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,1,1,0,0,0,0
15-Mar-20,0,1,0,0,0,0
16-Mar-20,0,1,0,0,0,0
17-Mar-20,0,1,0,0,0,0
18-Mar-20,0,1,0,0,0,0
19-Mar-20,2,3,0,0,0,0
20-Mar-20,0,3,0,0,0,0
21-Mar-20,2,5,0,0,0,0
22-Mar-20,1,6,0,0,0,0
23-Mar-20,1,7,0,0,0,0
24-Mar-20,1,8,0,0,0,0
25-Mar-20,2,10,0,0,1,1
26-Mar-20,1,11,0,0,0,1
27-Mar-20,2,13,0,0,0,1
28-Mar-20,6,19,0,0,0,1
29-Mar-20,2,21,0,0,0,1
30-Mar-20,2,23,0,0,0,1
31-Mar-20,21,44,0,0,0,1
01-Apr-20,67,111,0,0,1,2
02-Apr-20,38,149,0,0,0,2
03-Apr-20,15,164,1,1,0,2
04-Apr-20,28,192,0,1,0,2
05-Apr-20,64,256,0,1,3,5
06-Apr-20,47,303,2,3,0,5
07-Apr-20,11,314,1,4,0,5
08-Apr-20,34,348,0,4,1,6
09-Apr-20,15,363,2,6,4,10
10-Apr-20,18,381,0,6,0,10
11-Apr-20,24,405,0,6,0,10
12-Apr-20,15,420,1,7,2,12
13-Apr-20,19,439,0,7,0,12
14-Apr-20,45,484,4,11,4,16
15-Apr-20,41,525,3,14,4,20
16-Apr-20,9,534,0,14,0,20
17-Apr-20,38,572,0,14,15,35
18-Apr-20,31,603,2,16,7,42
19-Apr-20,44,647,1,17,23,65
20-Apr-20,75,722,3,20,27,92
21-Apr-20,35,757,2,22,4,96
22-Apr-20,56,813,2,24,24,120
23-Apr-20,80,893,3,27,21,141
24-Apr-20,62,955,2,29,4,145
25-Apr-20,61,1016,2,31,26,171
26-Apr-20,81,1097,0,31,60,231
27-Apr-20,80,1177,0,31,4,235
28-Apr-20,82,1259,0,31,23,258
29-Apr-20,73,1332,0,31,29,287
30-Apr-20,71,1403,0,31,34,321
01-May-20,60,1463,2,33,82,403
02-May-20,62,1525,0,33,38,441
03-May-20,58,1583,0,33,47,488
04-May-20,67,1650,0,33,36,524
05-May-20,67,1717,1,34,65,589
06-May-20,60,1777,2,36,140,729
07-May-20,56,1833,2,38,51,780
08-May-20,54,1887,3,41,62,842
09-May-20,43,1930,3,44,45,887
10-May-20,50,1980,1,45,38,925
11-May-20,38,2018,0,45,73,998
12-May-20,71,2089,1,46,58,1056
13-May-20,48,2137,1,47,86,1142
14-May-20,68,2205,1,48,50,1192
15-May-20,102,2307,0,48,60,1252
16-May-20,48,2355,1,49,101,1353
17-May-20,25,2380,1,50,103,1456
18-May-20,52,2432,0,50,96,1552
19-May-20,57,2489,2,52,69,1621
20-May-20,71,2560,1,53,43,1664
21-May-20,45,2605,1,54,41,1705
22-May-20,62,2667,1,55,26,1731
23-May-20,47,2714,1,56,48,1779
24-May-20,66,2780,0,56,62,1841
25-May-20,106,2886,0,56,51,1892
26-May-20,97,2983,1,57,125,2017
27-May-20,134,3117,1,58,48,2065
28-May-20,128,3245,1,59,68,2133
29-May-20,85,3330,1,60,101,2234
