Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,0.0,0,0.0,0,0.0,0
29-Mar-20,0.0,0,0.0,0,0.0,0
30-Mar-20,0.0,0,0.0,0,0.0,0
31-Mar-20,2.0,2,0.0,0,0.0,0
01-Apr-20,0.0,2,0.0,0,0.0,0
02-Apr-20,0.0,2,0.0,0,0.0,0
03-Apr-20,0.0,2,0.0,0,0.0,0
04-Apr-20,1.0,3,0.0,0,0.0,0
05-Apr-20,3.0,6,0.0,0,0.0,0
06-Apr-20,0.0,6,0.0,0,0.0,0
07-Apr-20,0.0,6,0.0,0,0.0,0
08-Apr-20,7.0,13,0.0,0,0.0,0
09-Apr-20,0.0,13,0.0,0,0.0,0
10-Apr-20,2.0,15,0.0,0,0.0,0
11-Apr-20,0.0,15,0.0,0,0.0,0
12-Apr-20,0.0,15,0.0,0,0.0,0
13-Apr-20,0.0,15,0.0,0,0.0,0
14-Apr-20,5.0,20,0.0,0,0.0,0
15-Apr-20,1.0,21,0.0,0,0.0,0
16-Apr-20,0.0,21,0.0,0,0.0,0
17-Apr-20,5.0,26,0.0,0,0.0,0
18-Apr-20,0.0,26,0.0,0,0.0,0
19-Apr-20,3.0,29,0.0,0,0.0,0
20-Apr-20,0.0,29,0.0,0,0.0,0
21-Apr-20,7.0,36,3.0,3,2.0,2
22-Apr-20,0.0,36,0.0,3,0.0,2
23-Apr-20,6.0,42,0.0,3,5.0,7
24-Apr-20,4.0,46,1.0,4,4.0,11
25-Apr-20,5.0,51,0.0,4,2.0,13
26-Apr-20,2.0,53,0.0,4,1.0,14
27-Apr-20,0.0,53,0.0,4,0.0,14
28-Apr-20,1.0,54,0.0,4,0.0,14
29-Apr-20,4.0,58,0.0,4,3.0,17
30-Apr-20,3.0,61,0.0,4,3.0,20
01-May-20,6.0,67,0.0,4,2.0,22
02-May-20,4.0,71,0.0,4,2.0,24
03-May-20,7.0,78,0.0,4,0.0,24
04-May-20,0.0,78,0.0,4,0.0,24
05-May-20,2.0,80,0.0,4,0.0,24
06-May-20,0.0,80,0.0,4,10.0,34
07-May-20,3.0,83,0.0,4,5.0,39
08-May-20,16.0,99,0.0,4,3.0,42
09-May-20,3.0,102,0.0,4,2.0,44
10-May-20,5.0,107,0.0,4,1.0,45
11-May-20,8.0,115,0.0,4,0.0,45
12-May-20,0.0,115,0.0,4,3.0,48
13-May-20,3.0,118,0.0,4,1.0,49
14-May-20,0.0,118,0.0,4,3.0,52
15-May-20,4.0,122,0.0,4,4.0,56
