Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,1.0,1,0.0,0,0.0,0
25-Mar-20,0.0,1,0.0,0,0.0,0
26-Mar-20,0.0,1,0.0,0,0.0,0
27-Mar-20,0.0,1,0.0,0,0.0,0
28-Mar-20,0.0,1,0.0,0,0.0,0
29-Mar-20,0.0,1,0.0,0,0.0,0
30-Mar-20,0.0,1,0.0,0,0.0,0
31-Mar-20,0.0,1,0.0,0,0.0,0
01-Apr-20,5.0,6,0.0,0,0.0,0
02-Apr-20,3.0,9,0.0,0,0.0,0
03-Apr-20,0.0,9,0.0,0,0.0,0
04-Apr-20,1.0,10,0.0,0,0.0,0
05-Apr-20,7.0,17,0.0,0,0.0,0
06-Apr-20,0.0,17,0.0,0,0.0,0
07-Apr-20,1.0,18,0.0,0,0.0,0
08-Apr-20,2.0,20,0.0,0,0.0,0
09-Apr-20,0.0,20,0.0,0,0.0,0
10-Apr-20,0.0,20,0.0,0,0.0,0
11-Apr-20,0.0,20,0.0,0,0.0,0
12-Apr-20,1.0,21,0.0,0,0.0,0
13-Apr-20,2.0,23,0.0,0,0.0,0
14-Apr-20,0.0,23,0.0,0,0.0,0
15-Apr-20,0.0,23,0.0,0,0.0,0
16-Apr-20,0.0,23,0.0,0,0.0,0
17-Apr-20,5.0,28,0.0,0,0.0,0
18-Apr-20,0.0,28,0.0,0,0.0,0
19-Apr-20,0.0,28,0.0,0,0.0,0
20-Apr-20,0.0,28,0.0,0,0.0,0
21-Apr-20,25.0,53,0.0,0,4.0,4
22-Apr-20,6.0,59,0.0,0,0.0,4
23-Apr-20,14.0,73,0.0,0,7.0,11
24-Apr-20,0.0,73,0.0,0,0.0,11
25-Apr-20,0.0,73,0.0,0,0.0,11
26-Apr-20,0.0,73,0.0,0,2.0,13
27-Apr-20,0.0,73,0.0,0,3.0,16
28-Apr-20,1.0,74,0.0,0,0.0,16
29-Apr-20,3.0,77,0.0,0,0.0,16
30-Apr-20,3.0,80,0.0,0,0.0,16
01-May-20,0.0,80,0.0,0,6.0,22
02-May-20,0.0,80,0.0,0,2.0,24
03-May-20,1.0,81,0.0,0,13.0,37
04-May-20,1.0,82,0.0,0,8.0,45
05-May-20,0.0,82,0.0,0,3.0,48
06-May-20,0.0,82,0.0,0,20.0,68
07-May-20,0.0,82,0.0,0,0.0,68
08-May-20,3.0,85,0.0,0,6.0,74
09-May-20,11.0,96,0.0,0,0.0,74
10-May-20,16.0,112,0.0,0,0.0,74
11-May-20,9.0,121,0.0,0,0.0,74
12-May-20,10.0,131,0.0,0,0.0,74
13-May-20,11.0,142,0.0,0,0.0,74
14-May-20,9.0,151,0.0,0,3.0,77
15-May-20,14.0,165,0.0,0,0.0,77
