Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,1.0,1,0.0,0,0.0,0
26-Mar-20,0.0,1,0.0,0,0.0,0
27-Mar-20,1.0,2,0.0,0,0.0,0
28-Mar-20,2.0,4,0.0,0,0.0,0
29-Mar-20,0.0,4,0.0,0,0.0,0
30-Mar-20,0.0,4,0.0,0,0.0,0
31-Mar-20,5.0,9,0.0,0,0.0,0
01-Apr-20,11.0,20,0.0,0,0.0,0
02-Apr-20,0.0,20,0.0,0,0.0,0
03-Apr-20,0.0,20,0.0,0,0.0,0
04-Apr-20,10.0,30,0.0,0,0.0,0
05-Apr-20,0.0,30,0.0,0,0.0,0
06-Apr-20,2.0,32,0.0,0,0.0,0
07-Apr-20,9.0,41,0.0,0,0.0,0
08-Apr-20,8.0,49,0.0,0,0.0,0
09-Apr-20,2.0,51,0.0,0,0.0,0
10-Apr-20,7.0,58,0.0,0,0.0,0
11-Apr-20,17.0,75,0.0,0,0.0,0
12-Apr-20,7.0,82,0.0,0,0.0,0
13-Apr-20,11.0,93,0.0,0,0.0,0
14-Apr-20,21.0,114,0.0,0,0.0,0
15-Apr-20,8.0,122,0.0,0,0.0,0
16-Apr-20,0.0,122,0.0,0,0.0,0
17-Apr-20,3.0,125,0.0,0,0.0,0
18-Apr-20,0.0,125,0.0,0,0.0,0
19-Apr-20,3.0,128,0.0,0,0.0,0
20-Apr-20,0.0,128,0.0,0,0.0,0
21-Apr-20,29.0,157,6.0,6,15.0,15
22-Apr-20,20.0,177,0.0,6,0.0,15
23-Apr-20,18.0,195,2.0,8,8.0,23
24-Apr-20,11.0,206,0.0,8,0.0,23
25-Apr-20,3.0,209,0.0,8,0.0,23
26-Apr-20,5.0,214,0.0,8,6.0,29
27-Apr-20,23.0,237,0.0,8,0.0,29
28-Apr-20,17.0,254,0.0,8,10.0,39
29-Apr-20,29.0,283,0.0,8,20.0,59
30-Apr-20,4.0,287,0.0,8,28.0,87
01-May-20,19.0,306,0.0,8,10.0,97
02-May-20,2.0,308,0.0,8,0.0,97
03-May-20,11.0,319,0.0,8,18.0,115
04-May-20,19.0,338,0.0,8,0.0,115
05-May-20,13.0,351,0.0,8,13.0,128
06-May-20,12.0,363,0.0,8,1.0,129
07-May-20,10.0,373,0.0,8,21.0,150
08-May-20,1.0,374,0.0,8,14.0,164
09-May-20,2.0,376,0.0,8,4.0,168
10-May-20,6.0,382,0.0,8,8.0,176
11-May-20,5.0,387,0.0,8,22.0,198
12-May-20,0.0,387,0.0,8,0.0,198
13-May-20,12.0,399,0.0,8,27.0,225
14-May-20,5.0,404,0.0,8,21.0,246
15-May-20,0.0,404,0.0,8,11.0,257
