Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,1.0,1,0.0,0,0.0,0
22-Mar-20,0.0,1,0.0,0,0.0,0
23-Mar-20,0.0,1,0.0,0,0.0,0
24-Mar-20,0.0,1,0.0,0,0.0,0
25-Mar-20,1.0,2,0.0,0,0.0,0
26-Mar-20,1.0,3,0.0,0,0.0,0
27-Mar-20,0.0,3,0.0,0,0.0,0
28-Mar-20,1.0,4,0.0,0,0.0,0
29-Mar-20,0.0,4,0.0,0,0.0,0
30-Mar-20,0.0,4,0.0,0,0.0,0
31-Mar-20,1.0,5,0.0,0,0.0,0
01-Apr-20,10.0,15,0.0,0,0.0,0
02-Apr-20,8.0,23,0.0,0,0.0,0
03-Apr-20,0.0,23,0.0,0,0.0,0
04-Apr-20,5.0,28,0.0,0,0.0,0
05-Apr-20,0.0,28,0.0,0,0.0,0
06-Apr-20,1.0,29,0.0,0,0.0,0
07-Apr-20,0.0,29,0.0,0,0.0,0
08-Apr-20,6.0,35,0.0,0,0.0,0
09-Apr-20,0.0,35,0.0,0,0.0,0
10-Apr-20,0.0,35,0.0,0,0.0,0
11-Apr-20,0.0,35,0.0,0,0.0,0
12-Apr-20,0.0,35,0.0,0,0.0,0
13-Apr-20,1.0,36,0.0,0,0.0,0
14-Apr-20,8.0,44,0.0,0,0.0,0
15-Apr-20,1.0,45,0.0,0,0.0,0
16-Apr-20,3.0,48,0.0,0,0.0,0
17-Apr-20,4.0,52,0.0,0,0.0,0
18-Apr-20,17.0,69,0.0,0,0.0,0
19-Apr-20,6.0,75,0.0,0,0.0,0
20-Apr-20,0.0,75,0.0,0,0.0,0
21-Apr-20,8.0,83,6.0,6,14.0,14
22-Apr-20,3.0,86,0.0,6,0.0,14
23-Apr-20,2.0,88,1.0,7,11.0,25
24-Apr-20,14.0,102,0.0,7,0.0,25
25-Apr-20,25.0,127,1.0,8,4.0,29
26-Apr-20,50.0,177,0.0,8,0.0,29
27-Apr-20,33.0,210,0.0,8,0.0,29
28-Apr-20,13.0,223,0.0,8,0.0,29
29-Apr-20,13.0,236,0.0,8,3.0,32
30-Apr-20,10.0,246,0.0,8,0.0,32
01-May-20,0.0,246,0.0,8,5.0,37
02-May-20,12.0,258,0.0,8,7.0,44
03-May-20,8.0,266,0.0,8,2.0,46
04-May-20,12.0,278,0.0,8,0.0,46
05-May-20,8.0,286,1.0,9,10.0,56
06-May-20,14.0,300,1.0,10,61.0,117
07-May-20,16.0,316,1.0,11,6.0,123
08-May-20,6.0,322,0.0,11,3.0,126
09-May-20,16.0,338,2.0,13,8.0,134
10-May-20,1.0,339,0.0,13,3.0,137
11-May-20,3.0,342,0.0,13,5.0,142
12-May-20,4.0,346,1.0,14,35.0,177
13-May-20,3.0,349,0.0,14,25.0,202
14-May-20,2.0,351,0.0,14,1.0,203
15-May-20,9.0,360,0.0,14,3.0,206
