Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,1.0,1,0.0,0,0.0,0
29-Mar-20,0.0,1,0.0,0,0.0,0
30-Mar-20,0.0,1,0.0,0,0.0,0
31-Mar-20,0.0,1,0.0,0,0.0,0
01-Apr-20,0.0,1,0.0,0,0.0,0
02-Apr-20,0.0,1,0.0,0,0.0,0
03-Apr-20,0.0,1,0.0,0,0.0,0
04-Apr-20,3.0,4,0.0,0,0.0,0
05-Apr-20,49.0,53,0.0,0,0.0,0
06-Apr-20,20.0,73,0.0,0,0.0,0
07-Apr-20,1.0,74,0.0,0,0.0,0
08-Apr-20,0.0,74,0.0,0,0.0,0
09-Apr-20,0.0,74,0.0,0,0.0,0
10-Apr-20,2.0,76,0.0,0,0.0,0
11-Apr-20,5.0,81,0.0,0,0.0,0
12-Apr-20,2.0,83,0.0,0,0.0,0
13-Apr-20,0.0,83,0.0,0,0.0,0
14-Apr-20,7.0,90,0.0,0,0.0,0
15-Apr-20,19.0,109,0.0,0,0.0,0
16-Apr-20,3.0,112,0.0,0,0.0,0
17-Apr-20,14.0,126,0.0,0,0.0,0
18-Apr-20,6.0,132,0.0,0,0.0,0
19-Apr-20,26.0,158,0.0,0,0.0,0
20-Apr-20,0.0,158,0.0,0,0.0,0
21-Apr-20,26.0,184,5.0,5,4.0,4
22-Apr-20,19.0,203,0.0,5,0.0,4
23-Apr-20,31.0,234,2.0,7,0.0,4
24-Apr-20,27.0,261,1.0,8,0.0,4
25-Apr-20,14.0,275,1.0,9,3.0,7
26-Apr-20,4.0,279,0.0,9,24.0,31
27-Apr-20,13.0,292,0.0,9,0.0,31
28-Apr-20,40.0,332,0.0,9,12.0,43
29-Apr-20,11.0,343,0.0,9,0.0,43
30-Apr-20,43.0,386,0.0,9,0.0,43
01-May-20,25.0,411,1.0,10,23.0,66
02-May-20,25.0,436,0.0,10,0.0,66
03-May-20,30.0,466,0.0,10,11.0,77
04-May-20,25.0,491,0.0,10,9.0,86
05-May-20,25.0,516,0.0,10,28.0,114
06-May-20,17.0,533,1.0,11,39.0,153
07-May-20,7.0,540,1.0,12,15.0,168
08-May-20,7.0,547,2.0,14,23.0,191
09-May-20,6.0,553,1.0,15,27.0,218
10-May-20,13.0,566,1.0,16,21.0,239
11-May-20,9.0,575,0.0,16,28.0,267
12-May-20,9.0,584,0.0,16,17.0,284
13-May-20,7.0,591,1.0,17,13.0,297
14-May-20,0.0,591,1.0,18,19.0,316
15-May-20,8.0,599,0.0,18,27.0,343
