Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,1,0.0,0,0.0,0
15-Mar-20,0.0,1,0.0,0,0.0,0
16-Mar-20,0.0,1,0.0,0,0.0,0
17-Mar-20,0.0,1,0.0,0,0.0,0
18-Mar-20,0.0,1,0.0,0,0.0,0
19-Mar-20,0.0,1,0.0,0,0.0,0
20-Mar-20,0.0,1,0.0,0,0.0,0
21-Mar-20,0.0,1,0.0,0,0.0,0
22-Mar-20,0.0,1,0.0,0,0.0,0
23-Mar-20,0.0,1,0.0,0,0.0,0
24-Mar-20,0.0,1,0.0,0,0.0,0
25-Mar-20,0.0,1,0.0,0,0.0,0
26-Mar-20,0.0,1,0.0,0,0.0,0
27-Mar-20,0.0,1,0.0,0,0.0,0
28-Mar-20,0.0,1,0.0,0,0.0,0
29-Mar-20,0.0,1,0.0,0,0.0,0
30-Mar-20,0.0,1,0.0,0,0.0,0
31-Mar-20,0.0,1,0.0,0,0.0,0
01-Apr-20,2.0,3,0.0,0,1.0,1
02-Apr-20,21.0,24,0.0,0,0.0,1
03-Apr-20,8.0,32,0.0,0,0.0,1
04-Apr-20,0.0,32,0.0,0,0.0,1
05-Apr-20,2.0,34,0.0,0,0.0,1
06-Apr-20,8.0,42,0.0,0,0.0,1
07-Apr-20,0.0,42,0.0,0,0.0,1
08-Apr-20,6.0,48,0.0,0,0.0,1
09-Apr-20,0.0,48,0.0,0,0.0,1
10-Apr-20,0.0,48,0.0,0,0.0,1
11-Apr-20,0.0,48,0.0,0,0.0,1
12-Apr-20,4.0,52,0.0,0,0.0,1
13-Apr-20,4.0,56,0.0,0,0.0,1
14-Apr-20,1.0,57,0.0,0,0.0,1
15-Apr-20,2.0,59,0.0,0,0.0,1
16-Apr-20,0.0,59,0.0,0,0.0,1
17-Apr-20,6.0,65,0.0,0,0.0,1
18-Apr-20,3.0,68,0.0,0,0.0,1
19-Apr-20,0.0,68,0.0,0,0.0,1
20-Apr-20,0.0,68,0.0,0,0.0,1
21-Apr-20,0.0,68,2.0,2,1.0,2
22-Apr-20,-1.0,67,0.0,2,0.0,2
23-Apr-20,0.0,67,0.0,2,4.0,6
24-Apr-20,1.0,68,0.0,2,0.0,6
25-Apr-20,4.0,72,0.0,2,2.0,8
26-Apr-20,0.0,72,0.0,2,15.0,23
27-Apr-20,7.0,79,0.0,2,0.0,23
28-Apr-20,3.0,82,0.0,2,1.0,24
29-Apr-20,0.0,82,0.0,2,3.0,27
30-Apr-20,2.0,84,0.0,2,0.0,27
01-May-20,0.0,84,1.0,3,16.0,43
02-May-20,6.0,90,0.0,3,1.0,44
03-May-20,1.0,91,0.0,3,0.0,44
04-May-20,0.0,91,0.0,3,6.0,50
05-May-20,1.0,92,0.0,3,6.0,56
06-May-20,0.0,92,0.0,3,0.0,56
07-May-20,4.0,96,0.0,3,3.0,59
08-May-20,0.0,96,0.0,3,1.0,60
09-May-20,0.0,96,0.0,3,1.0,61
10-May-20,5.0,101,0.0,3,1.0,62
11-May-20,1.0,102,0.0,3,14.0,76
12-May-20,9.0,111,0.0,3,0.0,76
13-May-20,0.0,111,0.0,3,1.0,77
14-May-20,15.0,126,0.0,3,1.0,78
15-May-20,14.0,140,0.0,3,3.0,81
