Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,1.0,1,0.0,0,0.0,0
20-Mar-20,0.0,1,0.0,0,0.0,0
21-Mar-20,0.0,1,0.0,0,0.0,0
22-Mar-20,1.0,2,0.0,0,0.0,0
23-Mar-20,1.0,3,0.0,0,0.0,0
24-Mar-20,0.0,3,0.0,0,0.0,0
25-Mar-20,0.0,3,0.0,0,0.0,0
26-Mar-20,0.0,3,0.0,0,0.0,0
27-Mar-20,1.0,4,0.0,0,0.0,0
28-Mar-20,0.0,4,0.0,0,0.0,0
29-Mar-20,2.0,6,0.0,0,1.0,1
30-Mar-20,0.0,6,0.0,0,0.0,1
31-Mar-20,4.0,10,0.0,0,0.0,1
01-Apr-20,1.0,11,0.0,0,0.0,1
02-Apr-20,0.0,11,0.0,0,0.0,1
03-Apr-20,4.0,15,0.0,0,0.0,1
04-Apr-20,0.0,15,0.0,0,0.0,1
05-Apr-20,0.0,15,0.0,0,0.0,1
06-Apr-20,5.0,20,0.0,0,0.0,1
07-Apr-20,0.0,20,0.0,0,0.0,1
08-Apr-20,0.0,20,0.0,0,0.0,1
09-Apr-20,0.0,20,0.0,0,0.0,1
10-Apr-20,0.0,20,0.0,0,0.0,1
11-Apr-20,0.0,20,0.0,0,0.0,1
12-Apr-20,0.0,20,0.0,0,0.0,1
13-Apr-20,0.0,20,0.0,0,0.0,1
14-Apr-20,0.0,20,0.0,0,0.0,1
15-Apr-20,0.0,20,0.0,0,0.0,1
16-Apr-20,0.0,20,0.0,0,0.0,1
17-Apr-20,0.0,20,0.0,0,0.0,1
18-Apr-20,0.0,20,0.0,0,0.0,1
19-Apr-20,1.0,21,0.0,0,0.0,1
20-Apr-20,0.0,21,0.0,0,0.0,1
21-Apr-20,0.0,21,0.0,0,17.0,18
22-Apr-20,0.0,21,0.0,0,0.0,18
23-Apr-20,1.0,22,0.0,0,1.0,19
24-Apr-20,0.0,22,0.0,0,0.0,19
25-Apr-20,0.0,22,0.0,0,0.0,19
26-Apr-20,0.0,22,0.0,0,0.0,19
27-Apr-20,0.0,22,0.0,0,0.0,19
28-Apr-20,0.0,22,0.0,0,0.0,19
29-Apr-20,1.0,23,0.0,0,0.0,19
30-Apr-20,0.0,23,0.0,0,1.0,20
01-May-20,2.0,25,0.0,0,0.0,20
02-May-20,4.0,29,0.0,0,0.0,20
03-May-20,0.0,29,0.0,0,0.0,20
04-May-20,6.0,35,0.0,0,0.0,20
05-May-20,2.0,37,0.0,0,1.0,21
06-May-20,2.0,39,0.0,0,0.0,21
07-May-20,7.0,46,0.0,0,1.0,22
08-May-20,11.0,57,1.0,1,1.0,23
09-May-20,5.0,62,0.0,1,0.0,23
10-May-20,1.0,63,0.0,1,2.0,25
11-May-20,3.0,66,0.0,1,0.0,25
12-May-20,0.0,66,0.0,1,0.0,25
13-May-20,0.0,66,0.0,1,0.0,25
14-May-20,0.0,66,0.0,1,0.0,25
15-May-20,2.0,68,0.0,1,0.0,25
