Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,0.0,0,0.0,0,0.0,0
29-Mar-20,0.0,0,0.0,0,0.0,0
30-Mar-20,0.0,0,0.0,0,0.0,0
31-Mar-20,0.0,0,0.0,0,0.0,0
01-Apr-20,15.0,15,0.0,0,0.0,0
02-Apr-20,3.0,18,0.0,0,0.0,0
03-Apr-20,1.0,19,0.0,0,0.0,0
04-Apr-20,4.0,23,0.0,0,0.0,0
05-Apr-20,0.0,23,0.0,0,0.0,0
06-Apr-20,5.0,28,0.0,0,0.0,0
07-Apr-20,0.0,28,0.0,0,0.0,0
08-Apr-20,0.0,28,0.0,0,0.0,0
09-Apr-20,1.0,29,0.0,0,0.0,0
10-Apr-20,0.0,29,0.0,0,0.0,0
11-Apr-20,1.0,30,0.0,0,0.0,0
12-Apr-20,1.0,31,0.0,0,0.0,0
13-Apr-20,0.0,31,0.0,0,0.0,0
14-Apr-20,2.0,33,0.0,0,0.0,0
15-Apr-20,3.0,36,0.0,0,0.0,0
16-Apr-20,0.0,36,0.0,0,0.0,0
17-Apr-20,1.0,37,0.0,0,0.0,0
18-Apr-20,0.0,37,0.0,0,0.0,0
19-Apr-20,0.0,37,0.0,0,0.0,0
20-Apr-20,0.0,37,0.0,0,0.0,0
21-Apr-20,9.0,46,0.0,0,19.0,19
22-Apr-20,5.0,51,0.0,0,0.0,19
23-Apr-20,0.0,51,0.0,0,9.0,28
24-Apr-20,0.0,51,0.0,0,0.0,28
25-Apr-20,4.0,55,0.0,0,0.0,28
26-Apr-20,3.0,58,0.0,0,0.0,28
27-Apr-20,0.0,58,0.0,0,0.0,28
28-Apr-20,7.0,65,0.0,0,0.0,28
29-Apr-20,4.0,69,0.0,0,0.0,28
30-Apr-20,4.0,73,0.0,0,0.0,28
01-May-20,6.0,79,0.0,0,9.0,37
02-May-20,4.0,83,0.0,0,0.0,37
03-May-20,0.0,83,0.0,0,0.0,37
04-May-20,4.0,87,0.0,0,0.0,37
05-May-20,2.0,89,0.0,0,2.0,39
06-May-20,1.0,90,0.0,0,1.0,40
07-May-20,6.0,96,0.0,0,0.0,40
08-May-20,0.0,96,0.0,0,3.0,43
09-May-20,0.0,96,0.0,0,0.0,43
10-May-20,1.0,97,0.0,0,0.0,43
11-May-20,0.0,97,0.0,0,2.0,45
12-May-20,0.0,97,0.0,0,1.0,46
13-May-20,0.0,97,0.0,0,10.0,56
14-May-20,2.0,99,0.0,0,0.0,56
15-May-20,2.0,101,0.0,0,7.0,63
