Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,0,0,0,0,0,0
25-Mar-20,0,0,0,0,0,0
26-Mar-20,0,0,0,0,0,0
27-Mar-20,0,0,0,0,0,0
28-Mar-20,0,0,0,0,0,0
29-Mar-20,0,0,0,0,0,0
30-Mar-20,0,0,0,0,0,0
31-Mar-20,0,0,0,0,0,0
01-Apr-20,0,0,0,0,0,0
02-Apr-20,1,1,0,0,0,0
03-Apr-20,0,1,0,0,0,0
04-Apr-20,0,1,0,0,0,0
05-Apr-20,0,1,0,0,0,0
06-Apr-20,0,1,0,0,0,0
07-Apr-20,0,1,0,0,0,0
08-Apr-20,0,1,0,0,0,0
09-Apr-20,0,1,0,0,0,0
10-Apr-20,0,1,0,0,0,0
11-Apr-20,0,1,0,0,0,0
12-Apr-20,0,1,0,0,0,0
13-Apr-20,0,1,0,0,0,0
14-Apr-20,0,1,0,0,0,0
15-Apr-20,0,1,0,0,1,1
16-Apr-20,0,1,0,0,0,1
17-Apr-20,0,1,0,0,0,1
18-Apr-20,0,1,0,0,0,1
19-Apr-20,0,1,0,0,0,1
20-Apr-20,0,1,0,0,0,1
21-Apr-20,0,1,0,0,0,1
22-Apr-20,0,1,0,0,0,1
23-Apr-20,0,1,0,0,0,1
24-Apr-20,0,1,0,0,0,1
25-Apr-20,0,1,0,0,0,1
26-Apr-20,0,1,0,0,0,1
27-Apr-20,0,1,0,0,0,1
28-Apr-20,0,1,0,0,0,1
29-Apr-20,0,1,0,0,0,1
30-Apr-20,0,1,0,0,0,1
01-May-20,0,1,0,0,0,1
02-May-20,0,1,0,0,0,1
03-May-20,0,1,0,0,0,1
04-May-20,0,1,0,0,0,1
05-May-20,0,1,0,0,0,1
06-May-20,0,1,0,0,0,1
07-May-20,0,1,0,0,0,1
08-May-20,0,1,0,0,0,1
09-May-20,0,1,0,0,0,1
10-May-20,0,1,0,0,0,1
11-May-20,0,1,0,0,0,1
12-May-20,0,1,0,0,0,1
13-May-20,0,1,0,0,0,1
14-May-20,0,1,0,0,0,1
15-May-20,0,1,0,0,0,1
16-May-20,0,1,0,0,0,1
17-May-20,0,1,0,0,0,1
18-May-20,0,1,0,0,0,1
19-May-20,0,1,0,0,0,1
20-May-20,0,1,0,0,0,1
21-May-20,0,1,0,0,0,1
22-May-20,0,1,0,0,0,1
23-May-20,0,1,0,0,0,1
24-May-20,1,2,0,0,0,1
25-May-20,0,2,0,0,0,1
26-May-20,0,2,0,0,0,1
27-May-20,0,2,0,0,0,1
28-May-20,1,3,0,0,0,1
29-May-20,0,3,0,0,0,1
30-May-20,1,4,0,0,0,1
31-May-20,0,4,0,0,0,1
01-Jun-20,18,22,0,0,0,1
02-Jun-20,2,24,0,0,0,1
03-Jun-20,10,34,0,0,0,1
04-Jun-20,5,39,0,0,0,1
05-Jun-20,4,43,0,0,0,1
06-Jun-20,2,45,0,0,0,1
07-Jun-20,3,48,0,0,0,1
08-Jun-20,6,54,0,0,0,1
09-Jun-20,0,54,0,0,1,2
10-Jun-20,4,58,0,0,2,4
11-Jun-20,6,64,0,0,0,4
12-Jun-20,19,83,0,0,0,4
13-Jun-20,5,88,0,0,2,6
14-Jun-20,3,91,0,0,1,7
15-Jun-20,4,95,0,0,0,7
16-Jun-20,4,99,0,0,0,7
17-Jun-20,4,103,0,0,3,10
18-Jun-20,0,103,0,0,1,11
19-Jun-20,32,135,0,0,3,14
20-Jun-20,0,135,0,0,1,15
21-Jun-20,4,139,0,0,6,21
22-Jun-20,9,148,0,0,1,22
23-Jun-20,10,158,0,0,16,38
24-Jun-20,2,160,1,1,0,38
25-Jun-20,12,172,0,1,4,42
26-Jun-20,2,174,0,1,7,49
27-Jun-20,3,177,0,1,5,54
28-Jun-20,5,182,0,1,6,60
29-Jun-20,5,187,0,1,1,61
30-Jun-20,4,191,0,1,1,62
01-Jul-20,4,195,0,1,4,66
02-Jul-20,37,232,0,1,5,71
03-Jul-20,20,252,0,1,4,75
04-Jul-20,7,259,0,1,1,76
05-Jul-20,10,269,0,1,2,78
06-Jul-20,1,270,1,2,14,92
07-Jul-20,6,276,0,2,13,105
08-Jul-20,11,287,0,2,4,109
09-Jul-20,15,302,0,2,11,120
10-Jul-20,33,335,0,2,0,120
11-Jul-20,6,341,0,2,5,125
