Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,0,0,0,0,0,0
25-Mar-20,0,0,0,0,0,0
26-Mar-20,0,0,0,0,0,0
27-Mar-20,0,0,0,0,0,0
28-Mar-20,0,0,0,0,0,0
29-Mar-20,0,0,0,0,0,0
30-Mar-20,0,0,0,0,0,0
31-Mar-20,1,1,0,0,0,0
01-Apr-20,15,16,0,0,0,0
02-Apr-20,0,16,0,0,0,0
03-Apr-20,7,23,0,0,0,0
04-Apr-20,3,26,0,0,0,0
05-Apr-20,0,26,0,0,0,0
06-Apr-20,0,26,0,0,0,0
07-Apr-20,2,28,0,0,0,0
08-Apr-20,0,28,0,0,0,0
09-Apr-20,1,29,0,0,0,0
10-Apr-20,0,29,1,1,0,0
11-Apr-20,0,29,0,1,0,0
12-Apr-20,1,30,0,1,0,0
13-Apr-20,2,32,0,1,0,0
14-Apr-20,1,33,0,1,0,0
15-Apr-20,0,33,0,1,2,2
16-Apr-20,2,35,0,1,3,5
17-Apr-20,0,35,0,1,4,9
18-Apr-20,0,35,0,1,3,12
19-Apr-20,0,35,0,1,5,17
20-Apr-20,0,35,0,1,2,19
21-Apr-20,0,35,0,1,0,19
22-Apr-20,0,35,0,1,0,19
23-Apr-20,1,36,0,1,0,19
24-Apr-20,0,36,0,1,0,19
25-Apr-20,0,36,0,1,0,19
26-Apr-20,0,36,0,1,8,27
27-Apr-20,0,36,0,1,0,27
28-Apr-20,2,38,0,1,0,27
29-Apr-20,0,38,0,1,2,29
30-Apr-20,5,43,0,1,0,29
01-May-20,0,43,0,1,4,33
02-May-20,0,43,0,1,0,33
03-May-20,0,43,0,1,0,33
04-May-20,0,43,0,1,0,33
05-May-20,2,45,0,1,0,33
06-May-20,1,46,0,1,2,35
07-May-20,8,54,0,1,0,35
08-May-20,6,60,1,2,0,35
09-May-20,2,62,-1,1,0,35
10-May-20,1,63,0,1,0,35
11-May-20,2,65,0,1,5,40
12-May-20,0,65,0,1,0,40
13-May-20,15,80,0,1,0,40
14-May-20,7,87,0,1,0,40
15-May-20,3,90,0,1,1,41
16-May-20,3,93,0,1,0,41
17-May-20,8,101,0,1,1,42
18-May-20,15,116,2,3,0,42
19-May-20,42,158,0,3,0,42
20-May-20,31,189,0,3,7,49
21-May-20,22,211,0,3,6,55
22-May-20,15,226,0,3,0,55
23-May-20,121,347,0,3,2,57
24-May-20,46,393,0,3,1,58
25-May-20,156,549,0,3,5,63
26-May-20,134,683,0,3,0,63
27-May-20,101,784,0,3,25,88
28-May-20,97,881,0,3,16,104
29-May-20,177,1058,0,3,22,126
30-May-20,159,1217,0,3,38,164
31-May-20,123,1340,0,3,22,186
01-Jun-20,146,1486,0,3,99,285
02-Jun-20,74,1560,0,3,53,338
03-Jun-20,271,1831,0,3,76,414
04-Jun-20,285,2116,0,3,46,460
05-Jun-20,128,2244,0,3,50,510
06-Jun-20,230,2474,0,3,79,589
07-Jun-20,208,2682,0,3,48,637
08-Jun-20,154,2836,0,3,148,785
09-Jun-20,215,3051,1,4,312,1097
10-Jun-20,235,3286,1,5,152,1249
11-Jun-20,145,3431,0,5,184,1433
12-Jun-20,263,3694,2,7,152,1585
13-Jun-20,207,3901,0,7,221,1806
14-Jun-20,218,4119,0,7,155,1961
15-Jun-20,191,4310,0,7,245,2206
16-Jun-20,201,4511,0,7,206,2412
17-Jun-20,184,4695,0,7,231,2643
18-Jun-20,209,4904,1,8,206,2849
19-Jun-20,0,4904,0,8,218,3067
20-Jun-20,249,5153,0,8,136,3203
21-Jun-20,332,5485,0,8,202,3405
22-Jun-20,267,5752,0,8,161,3566
23-Jun-20,203,5955,0,8,197,3763
24-Jun-20,226,6181,0,8,196,3959
25-Jun-20,364,6545,0,8,75,4034
26-Jun-20,273,6818,0,8,214,4248
27-Jun-20,246,7064,1,9,567,4815
28-Jun-20,327,7391,1,10,274,5089
29-Jun-20,302,7693,0,10,245,5334
30-Jun-20,613,8306,1,11,314,5648
01-Jul-20,548,8854,0,11,184,5832
02-Jul-20,479,9333,2,13,275,6107
03-Jul-20,365,9698,0,13,221,6328
04-Jul-20,1202,10900,0,13,416,6744
05-Jul-20,735,11635,0,13,690,7434
06-Jul-20,786,12421,0,13,508,7942
07-Jul-20,814,13235,2,15,388,8330
