Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,2,2,1,1,0,0
23-Mar-20,1,3,0,1,0,0
24-Mar-20,0,3,0,1,0,0
25-Mar-20,1,4,0,1,0,0
26-Mar-20,3,7,0,1,0,0
27-Mar-20,2,9,0,1,0,0
28-Mar-20,2,11,0,1,0,0
29-Mar-20,4,15,0,1,0,0
30-Mar-20,0,15,0,1,0,0
31-Mar-20,6,21,0,1,0,0
01-Apr-20,3,24,0,1,0,0
02-Apr-20,5,29,0,1,3,3
03-Apr-20,2,31,0,1,0,3
04-Apr-20,1,32,0,1,0,3
05-Apr-20,0,32,0,1,0,3
06-Apr-20,0,32,0,1,6,9
07-Apr-20,6,38,0,1,6,15
08-Apr-20,1,39,0,1,0,15
09-Apr-20,19,58,0,1,0,15
10-Apr-20,2,60,0,1,0,15
11-Apr-20,4,64,0,1,0,15
12-Apr-20,0,64,0,1,11,26
13-Apr-20,2,66,0,1,2,28
14-Apr-20,0,66,0,1,1,29
15-Apr-20,6,72,0,1,0,29
16-Apr-20,11,83,0,1,8,37
17-Apr-20,2,85,0,1,0,37
18-Apr-20,1,86,1,2,5,42
19-Apr-20,10,96,0,2,0,42
20-Apr-20,17,113,0,2,0,42
21-Apr-20,13,126,0,2,0,42
22-Apr-20,17,143,0,2,0,42
23-Apr-20,27,170,0,2,2,44
24-Apr-20,53,223,0,2,0,44
25-Apr-20,28,251,0,2,1,45
26-Apr-20,26,277,0,2,11,56
27-Apr-20,69,346,0,2,0,56
28-Apr-20,20,366,0,2,8,64
29-Apr-20,37,403,0,2,0,64
30-Apr-20,22,425,0,2,20,84
01-May-20,41,466,1,3,14,98
02-May-20,15,481,1,4,19,117
03-May-20,36,517,0,4,7,124
04-May-20,11,528,0,4,3,127
05-May-20,7,535,0,4,31,158
06-May-20,7,542,0,4,0,158
07-May-20,8,550,1,5,60,218
08-May-20,29,579,0,5,49,267
09-May-20,32,611,0,5,51,318
10-May-20,96,707,1,6,36,354
11-May-20,42,749,0,6,23,377
12-May-20,130,879,0,6,5,382
13-May-20,74,953,1,7,18,400
14-May-20,46,999,0,7,12,412
15-May-20,34,1033,0,7,28,440
