Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,1,1,1,1,0,0
23-Mar-20,0,1,0,1,0,0
24-Mar-20,0,1,0,1,0,0
25-Mar-20,0,1,0,1,0,0
26-Mar-20,2,3,0,1,0,0
27-Mar-20,0,3,0,1,0,0
28-Mar-20,0,3,0,1,0,0
29-Mar-20,4,7,0,1,0,0
30-Mar-20,0,7,0,1,0,0
31-Mar-20,0,7,0,1,0,0
01-Apr-20,0,7,0,1,0,0
02-Apr-20,0,7,0,1,0,0
03-Apr-20,0,7,0,1,0,0
04-Apr-20,0,7,0,1,0,0
05-Apr-20,0,7,0,1,0,0
06-Apr-20,0,7,0,1,0,0
07-Apr-20,0,7,0,1,0,0
08-Apr-20,0,7,0,1,0,0
09-Apr-20,0,7,0,1,0,0
10-Apr-20,0,7,0,1,0,0
11-Apr-20,0,7,0,1,0,0
12-Apr-20,0,7,0,1,0,0
13-Apr-20,0,7,0,1,0,0
14-Apr-20,0,7,0,1,0,0
15-Apr-20,1,8,0,1,0,0
16-Apr-20,9,17,0,1,0,0
17-Apr-20,0,17,0,1,0,0
18-Apr-20,0,17,0,1,0,0
19-Apr-20,3,20,0,1,0,0
20-Apr-20,0,20,0,1,0,0
21-Apr-20,7,27,0,1,0,0
22-Apr-20,0,27,0,1,6,6
23-Apr-20,4,31,0,1,0,6
24-Apr-20,31,62,0,1,0,6
25-Apr-20,3,65,0,1,0,6
26-Apr-20,3,68,0,1,5,11
27-Apr-20,22,90,0,1,0,11
28-Apr-20,2,92,0,1,0,11
29-Apr-20,0,92,0,1,0,11
30-Apr-20,3,95,0,1,6,17
01-May-20,0,95,0,1,0,17
02-May-20,0,95,0,1,1,18
03-May-20,7,102,0,1,3,21
04-May-20,0,102,0,1,1,22
05-May-20,0,102,0,1,2,24
06-May-20,0,102,0,1,6,30
07-May-20,0,102,0,1,8,38
08-May-20,0,102,0,1,4,42
09-May-20,2,104,0,1,1,43
10-May-20,11,115,0,1,17,60
11-May-20,0,115,0,1,0,60
12-May-20,0,115,0,1,0,60
13-May-20,7,122,0,1,0,60
14-May-20,0,122,0,1,5,65
15-May-20,0,122,0,1,3,68
