Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,1.0,1,0.0,0,0.0,0
28-Mar-20,0.0,1,0.0,0,0.0,0
29-Mar-20,0.0,1,0.0,0,0.0,0
30-Mar-20,0.0,1,0.0,0,0.0,0
31-Mar-20,0.0,1,0.0,0,0.0,0
01-Apr-20,1.0,2,0.0,0,0.0,0
02-Apr-20,0.0,2,0.0,0,0.0,0
03-Apr-20,0.0,2,0.0,0,0.0,0
04-Apr-20,0.0,2,0.0,0,0.0,0
05-Apr-20,0.0,2,0.0,0,0.0,0
06-Apr-20,0.0,2,0.0,0,0.0,0
07-Apr-20,0.0,2,0.0,0,0.0,0
08-Apr-20,0.0,2,0.0,0,0.0,0
09-Apr-20,0.0,2,0.0,0,0.0,0
10-Apr-20,0.0,2,0.0,0,0.0,0
11-Apr-20,0.0,2,0.0,0,0.0,0
12-Apr-20,0.0,2,0.0,0,0.0,0
13-Apr-20,1.0,3,0.0,0,0.0,0
14-Apr-20,0.0,3,0.0,0,0.0,0
15-Apr-20,3.0,6,0.0,0,0.0,0
16-Apr-20,0.0,6,0.0,0,0.0,0
17-Apr-20,1.0,7,0.0,0,0.0,0
18-Apr-20,0.0,7,0.0,0,0.0,0
19-Apr-20,4.0,11,0.0,0,0.0,0
20-Apr-20,0.0,11,0.0,0,0.0,0
21-Apr-20,17.0,28,0.0,0,0.0,0
22-Apr-20,1.0,29,0.0,0,2.0,2
23-Apr-20,2.0,31,0.0,0,0.0,2
24-Apr-20,3.0,34,0.0,0,0.0,2
25-Apr-20,0.0,34,0.0,0,0.0,2
26-Apr-20,0.0,34,0.0,0,4.0,6
27-Apr-20,1.0,35,0.0,0,0.0,6
28-Apr-20,0.0,35,0.0,0,0.0,6
29-Apr-20,0.0,35,0.0,0,0.0,6
30-Apr-20,0.0,35,0.0,0,6.0,12
01-May-20,1.0,36,0.0,0,0.0,12
02-May-20,0.0,36,0.0,0,13.0,25
03-May-20,0.0,36,0.0,0,4.0,29
04-May-20,0.0,36,0.0,0,0.0,29
05-May-20,0.0,36,0.0,0,1.0,30
06-May-20,0.0,36,0.0,0,0.0,30
07-May-20,0.0,36,0.0,0,0.0,30
08-May-20,1.0,37,0.0,0,5.0,35
09-May-20,2.0,39,0.0,0,0.0,35
10-May-20,11.0,50,0.0,0,0.0,35
11-May-20,1.0,51,0.0,0,1.0,36
12-May-20,0.0,51,0.0,0,0.0,36
13-May-20,12.0,63,0.0,0,0.0,36
14-May-20,3.0,66,0.0,0,0.0,36
15-May-20,0.0,66,0.0,0,1.0,37
