Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,1,1,0,0,0,0
23-Mar-20,1,2,0,0,0,0
24-Mar-20,0,2,0,0,0,0
25-Mar-20,1,3,0,0,0,0
26-Mar-20,1,4,0,0,0,0
27-Mar-20,0,4,0,0,0,0
28-Mar-20,1,5,0,0,0,0
29-Mar-20,0,5,0,0,0,0
30-Mar-20,0,5,0,0,0,0
31-Mar-20,0,5,0,0,0,0
01-Apr-20,0,5,0,0,0,0
02-Apr-20,0,5,0,0,0,0
03-Apr-20,0,5,0,0,0,0
04-Apr-20,0,5,0,0,0,0
05-Apr-20,0,5,0,0,0,0
06-Apr-20,0,5,0,0,0,0
07-Apr-20,0,5,0,0,0,0
08-Apr-20,0,5,0,0,0,0
09-Apr-20,0,5,0,0,0,0
10-Apr-20,0,5,0,0,0,0
11-Apr-20,0,5,0,0,0,0
12-Apr-20,0,5,0,0,0,0
13-Apr-20,0,5,0,0,0,0
14-Apr-20,0,5,0,0,0,0
15-Apr-20,1,6,0,0,0,0
16-Apr-20,0,6,0,0,0,0
17-Apr-20,0,6,0,0,0,0
18-Apr-20,1,7,0,0,0,0
19-Apr-20,0,7,0,0,0,0
20-Apr-20,0,7,0,0,0,0
21-Apr-20,1,8,0,0,0,0
22-Apr-20,8,16,0,0,5,5
23-Apr-20,8,24,0,0,0,5
24-Apr-20,2,26,0,0,0,5
25-Apr-20,7,33,0,0,0,5
26-Apr-20,0,33,0,0,0,5
27-Apr-20,6,39,0,0,0,5
28-Apr-20,0,39,0,0,0,5
29-Apr-20,3,42,0,0,0,5
30-Apr-20,2,44,0,0,1,6
01-May-20,0,44,0,0,0,6
02-May-20,0,44,0,0,0,6
03-May-20,0,44,0,0,6,12
04-May-20,0,44,0,0,1,13
05-May-20,0,44,0,0,0,13
06-May-20,2,46,0,0,0,13
07-May-20,1,47,0,0,5,18
08-May-20,5,52,0,0,2,20
09-May-20,0,52,0,0,1,21
10-May-20,9,61,1,1,2,23
11-May-20,11,72,0,1,12,35
12-May-20,7,79,0,1,0,35
13-May-20,20,99,1,2,0,35
14-May-20,0,99,0,2,0,35
15-May-20,1,100,0,2,6,41
