Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,1.0,1,0.0,0,0.0,0
28-Mar-20,0.0,1,0.0,0,0.0,0
29-Mar-20,0.0,1,0.0,0,0.0,0
30-Mar-20,0.0,1,0.0,0,0.0,0
31-Mar-20,4.0,5,0.0,0,0.0,0
01-Apr-20,0.0,5,0.0,0,0.0,0
02-Apr-20,0.0,5,0.0,0,0.0,0
03-Apr-20,1.0,6,0.0,0,0.0,0
04-Apr-20,0.0,6,0.0,0,0.0,0
05-Apr-20,0.0,6,0.0,0,0.0,0
06-Apr-20,0.0,6,0.0,0,0.0,0
07-Apr-20,4.0,10,0.0,0,0.0,0
08-Apr-20,0.0,10,0.0,0,0.0,0
09-Apr-20,17.0,27,0.0,0,0.0,0
10-Apr-20,2.0,29,0.0,0,0.0,0
11-Apr-20,0.0,29,0.0,0,0.0,0
12-Apr-20,0.0,29,0.0,0,0.0,0
13-Apr-20,0.0,29,0.0,0,0.0,0
14-Apr-20,0.0,29,0.0,0,0.0,0
15-Apr-20,0.0,29,0.0,0,0.0,0
16-Apr-20,0.0,29,0.0,0,0.0,0
17-Apr-20,0.0,29,0.0,0,0.0,0
18-Apr-20,0.0,29,0.0,0,0.0,0
19-Apr-20,0.0,29,0.0,0,0.0,0
20-Apr-20,0.0,29,0.0,0,0.0,0
21-Apr-20,0.0,29,0.0,0,0.0,0
22-Apr-20,0.0,29,0.0,0,17.0,17
23-Apr-20,1.0,30,0.0,0,0.0,17
24-Apr-20,0.0,30,0.0,0,0.0,17
25-Apr-20,0.0,30,0.0,0,0.0,17
26-Apr-20,0.0,30,0.0,0,1.0,18
27-Apr-20,0.0,30,0.0,0,0.0,18
28-Apr-20,0.0,30,0.0,0,4.0,22
29-Apr-20,0.0,30,0.0,0,0.0,22
30-Apr-20,0.0,30,0.0,0,3.0,25
01-May-20,0.0,30,0.0,0,0.0,25
02-May-20,0.0,30,0.0,0,0.0,25
03-May-20,1.0,31,0.0,0,0.0,25
04-May-20,0.0,31,0.0,0,0.0,25
05-May-20,1.0,32,0.0,0,0.0,25
06-May-20,0.0,32,0.0,0,0.0,25
07-May-20,0.0,32,0.0,0,0.0,25
08-May-20,0.0,32,0.0,0,0.0,25
09-May-20,1.0,33,0.0,0,1.0,26
10-May-20,0.0,33,0.0,0,3.0,29
11-May-20,0.0,33,0.0,0,2.0,31
12-May-20,1.0,34,0.0,0,1.0,32
13-May-20,4.0,38,0.0,0,0.0,32
14-May-20,0.0,38,0.0,0,0.0,32
15-May-20,5.0,43,0.0,0,0.0,32
