Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,1,1,0,0,0,0
20-Mar-20,4,5,0,0,0,0
21-Mar-20,0,5,0,0,0,0
22-Mar-20,1,6,0,0,0,0
23-Mar-20,1,7,0,0,0,0
24-Mar-20,0,7,0,0,0,0
25-Mar-20,0,7,0,0,0,0
26-Mar-20,0,7,0,0,0,0
27-Mar-20,1,8,0,0,0,0
28-Mar-20,0,8,0,0,0,0
29-Mar-20,0,8,0,0,0,0
30-Mar-20,5,13,0,0,0,0
31-Mar-20,2,15,0,0,0,0
01-Apr-20,2,17,0,0,0,0
02-Apr-20,1,18,0,0,0,0
03-Apr-20,0,18,0,0,0,0
04-Apr-20,0,18,0,0,3,3
05-Apr-20,0,18,0,0,2,5
06-Apr-20,0,18,0,0,0,5
07-Apr-20,0,18,0,0,2,7
08-Apr-20,0,18,0,0,0,7
09-Apr-20,0,18,0,0,0,7
10-Apr-20,1,19,0,0,0,7
11-Apr-20,0,19,0,0,0,7
12-Apr-20,2,21,0,0,0,7
13-Apr-20,0,21,0,0,0,7
14-Apr-20,0,21,0,0,0,7
15-Apr-20,0,21,0,0,2,9
16-Apr-20,0,21,0,0,0,9
17-Apr-20,0,21,0,0,0,9
18-Apr-20,2,23,0,0,0,9
19-Apr-20,3,26,0,0,4,13
20-Apr-20,0,26,0,0,1,14
21-Apr-20,1,27,0,0,0,14
22-Apr-20,0,27,0,0,0,14
23-Apr-20,0,27,0,0,0,14
24-Apr-20,0,27,0,0,1,15
25-Apr-20,1,28,0,0,0,15
26-Apr-20,8,36,0,0,2,17
27-Apr-20,9,45,0,0,0,17
28-Apr-20,11,56,0,0,0,17
29-Apr-20,12,68,0,0,0,17
30-Apr-20,6,74,0,0,1,18
01-May-20,14,88,0,0,0,18
02-May-20,6,94,0,0,1,19
03-May-20,3,97,1,1,0,19
04-May-20,5,102,0,1,2,21
05-May-20,17,119,0,1,0,21
06-May-20,5,124,0,1,0,21
07-May-20,11,135,0,1,0,21
08-May-20,11,146,1,2,0,21
09-May-20,23,169,0,2,3,24
10-May-20,4,173,1,3,0,24
11-May-20,8,181,0,3,4,28
12-May-20,6,187,0,3,2,30
13-May-20,4,191,0,3,0,30
14-May-20,0,191,0,3,7,37
15-May-20,0,191,0,3,3,40
16-May-20,0,191,0,3,11,51
17-May-20,0,191,0,3,0,51
18-May-20,5,196,0,3,3,54
19-May-20,3,199,0,3,3,57
20-May-20,3,202,0,3,79,136
21-May-20,16,218,0,3,42,178
22-May-20,1,219,0,3,0,178
23-May-20,6,225,0,3,1,179
24-May-20,37,262,1,4,0,179
25-May-20,4,266,0,4,8,187
26-May-20,12,278,0,4,0,187
27-May-20,1,279,0,4,0,187
28-May-20,10,289,0,4,2,189
29-May-20,0,289,0,4,0,189
30-May-20,0,289,0,4,10,199
31-May-20,4,293,0,4,0,199
01-Jun-20,4,297,0,4,15,214
02-Jun-20,4,301,1,5,0,214
03-Jun-20,0,301,0,5,0,214
04-Jun-20,1,302,0,5,8,222
05-Jun-20,7,309,0,5,51,273
06-Jun-20,3,312,0,5,0,273
07-Jun-20,2,314,0,5,1,274
08-Jun-20,6,320,0,5,11,285
09-Jun-20,6,326,0,5,0,285
10-Jun-20,2,328,0,5,4,289
11-Jun-20,4,332,0,5,4,293
12-Jun-20,13,345,0,5,2,295
13-Jun-20,5,350,0,5,0,295
14-Jun-20,2,352,0,5,0,295
15-Jun-20,5,357,1,6,6,301
16-Jun-20,8,365,0,6,1,302
17-Jun-20,5,370,0,6,4,306
18-Jun-20,4,374,0,6,0,306
19-Jun-20,7,381,0,6,9,315
20-Jun-20,23,404,0,6,1,316
21-Jun-20,2,406,0,6,0,316
22-Jun-20,5,411,0,6,6,322
23-Jun-20,7,418,0,6,0,322
24-Jun-20,2,420,0,6,0,322
25-Jun-20,3,423,0,6,7,329
26-Jun-20,2,425,0,6,6,335
27-Jun-20,3,428,0,6,0,335
28-Jun-20,3,431,0,6,1,336
29-Jun-20,3,434,0,6,13,349
30-Jun-20,6,440,0,6,15,364
01-Jul-20,6,446,0,6,3,367
02-Jul-20,4,450,0,6,22,389
03-Jul-20,4,454,0,6,4,393
04-Jul-20,5,459,0,6,2,395
05-Jul-20,7,466,0,6,0,395
06-Jul-20,21,487,0,6,6,401
07-Jul-20,5,492,1,7,0,401
08-Jul-20,15,507,0,7,1,402
09-Jul-20,16,523,0,7,1,403
10-Jul-20,13,536,0,7,5,408
11-Jul-20,13,549,1,8,5,413
