Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,1.0,1,0.0,0,0.0,0
20-Mar-20,4.0,5,0.0,0,0.0,0
21-Mar-20,0.0,5,0.0,0,0.0,0
22-Mar-20,1.0,6,0.0,0,0.0,0
23-Mar-20,1.0,7,0.0,0,0.0,0
24-Mar-20,0.0,7,0.0,0,0.0,0
25-Mar-20,0.0,7,0.0,0,0.0,0
26-Mar-20,0.0,7,0.0,0,0.0,0
27-Mar-20,1.0,8,0.0,0,0.0,0
28-Mar-20,0.0,8,0.0,0,0.0,0
29-Mar-20,0.0,8,0.0,0,0.0,0
30-Mar-20,5.0,13,0.0,0,0.0,0
31-Mar-20,2.0,15,0.0,0,0.0,0
01-Apr-20,2.0,17,0.0,0,0.0,0
02-Apr-20,1.0,18,0.0,0,0.0,0
03-Apr-20,0.0,18,0.0,0,0.0,0
04-Apr-20,0.0,18,0.0,0,0.0,0
05-Apr-20,0.0,18,0.0,0,0.0,0
06-Apr-20,0.0,18,0.0,0,0.0,0
07-Apr-20,0.0,18,0.0,0,0.0,0
08-Apr-20,0.0,18,0.0,0,0.0,0
09-Apr-20,0.0,18,0.0,0,0.0,0
10-Apr-20,1.0,19,0.0,0,0.0,0
11-Apr-20,0.0,19,0.0,0,0.0,0
12-Apr-20,2.0,21,0.0,0,0.0,0
13-Apr-20,0.0,21,0.0,0,0.0,0
14-Apr-20,0.0,21,0.0,0,0.0,0
15-Apr-20,0.0,21,0.0,0,0.0,0
16-Apr-20,0.0,21,0.0,0,0.0,0
17-Apr-20,0.0,21,0.0,0,0.0,0
18-Apr-20,2.0,23,0.0,0,0.0,0
19-Apr-20,3.0,26,0.0,0,0.0,0
20-Apr-20,0.0,26,0.0,0,0.0,0
21-Apr-20,1.0,27,0.0,0,14.0,14
22-Apr-20,0.0,27,0.0,0,0.0,14
23-Apr-20,0.0,27,0.0,0,0.0,14
24-Apr-20,0.0,27,0.0,0,0.0,14
25-Apr-20,1.0,28,0.0,0,1.0,15
26-Apr-20,8.0,36,0.0,0,2.0,17
27-Apr-20,9.0,45,0.0,0,0.0,17
28-Apr-20,11.0,56,0.0,0,0.0,17
29-Apr-20,12.0,68,0.0,0,0.0,17
30-Apr-20,6.0,74,0.0,0,1.0,18
01-May-20,14.0,88,0.0,0,0.0,18
02-May-20,6.0,94,0.0,0,1.0,19
03-May-20,3.0,97,1.0,1,0.0,19
04-May-20,5.0,102,0.0,1,2.0,21
05-May-20,13.0,115,0.0,1,0.0,21
06-May-20,9.0,124,0.0,1,0.0,21
07-May-20,10.0,134,0.0,1,0.0,21
08-May-20,12.0,146,0.0,1,0.0,21
09-May-20,23.0,169,1.0,2,3.0,24
10-May-20,4.0,173,1.0,3,0.0,24
11-May-20,8.0,181,0.0,3,4.0,28
12-May-20,6.0,187,0.0,3,0.0,28
13-May-20,4.0,191,0.0,3,2.0,30
14-May-20,0.0,191,0.0,3,7.0,37
15-May-20,0.0,191,0.0,3,3.0,40
