Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,1,1,0,0,0,0
20-Mar-20,0,1,0,0,0,0
21-Mar-20,0,1,0,0,0,0
22-Mar-20,0,1,0,0,0,0
23-Mar-20,0,1,0,0,0,0
24-Mar-20,0,1,0,0,0,0
25-Mar-20,2,3,0,0,0,0
26-Mar-20,3,6,0,0,0,0
27-Mar-20,0,6,0,0,0,0
28-Mar-20,1,7,0,0,0,0
29-Mar-20,0,7,0,0,0,0
30-Mar-20,1,8,0,0,0,0
31-Mar-20,1,9,0,0,2,2
01-Apr-20,0,9,0,0,0,2
02-Apr-20,0,9,0,0,1,3
03-Apr-20,0,9,0,0,0,3
04-Apr-20,1,10,0,0,0,3
05-Apr-20,0,10,0,0,5,8
06-Apr-20,0,10,0,0,0,8
07-Apr-20,0,10,0,0,1,9
08-Apr-20,0,10,0,0,0,9
09-Apr-20,8,18,0,0,0,9
10-Apr-20,0,18,0,0,0,9
11-Apr-20,7,25,0,0,0,9
12-Apr-20,6,31,0,0,1,10
13-Apr-20,0,31,0,0,0,10
14-Apr-20,2,33,0,0,3,13
15-Apr-20,0,33,0,0,4,17
16-Apr-20,3,36,0,0,6,23
17-Apr-20,0,36,0,0,1,24
18-Apr-20,0,36,0,0,1,25
19-Apr-20,0,36,0,0,0,25
20-Apr-20,0,36,0,0,0,25
21-Apr-20,0,36,0,0,0,25
22-Apr-20,0,36,0,0,3,28
23-Apr-20,0,36,0,0,2,30
24-Apr-20,0,36,0,0,0,30
25-Apr-20,1,37,0,0,2,32
26-Apr-20,0,37,0,0,0,32
27-Apr-20,0,37,0,0,0,32
28-Apr-20,1,38,0,0,2,34
29-Apr-20,0,38,0,0,0,34
30-Apr-20,2,40,0,0,2,36
01-May-20,3,43,0,0,0,36
02-May-20,0,43,0,0,0,36
03-May-20,0,43,0,0,0,36
