Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,1,1,0,0,1,1
20-Mar-20,0,1,0,0,0,1
21-Mar-20,0,1,0,0,0,1
22-Mar-20,0,1,0,0,0,1
23-Mar-20,0,1,0,0,0,1
24-Mar-20,0,1,0,0,0,1
25-Mar-20,1,2,0,0,1,2
26-Mar-20,1,3,0,0,1,3
27-Mar-20,0,3,0,0,0,3
28-Mar-20,1,4,0,0,1,4
29-Mar-20,0,4,0,0,0,4
30-Mar-20,0,4,0,0,0,4
31-Mar-20,1,5,0,0,1,5
01-Apr-20,0,5,0,0,0,5
02-Apr-20,0,5,0,0,0,5
03-Apr-20,0,5,0,0,0,5
04-Apr-20,0,5,0,0,0,5
05-Apr-20,0,5,0,0,0,5
06-Apr-20,0,5,0,0,0,5
07-Apr-20,0,5,0,0,0,5
08-Apr-20,0,5,0,0,0,5
09-Apr-20,0,5,0,0,0,5
10-Apr-20,0,5,0,0,0,5
11-Apr-20,0,5,0,0,0,5
12-Apr-20,0,5,0,0,0,5
13-Apr-20,0,5,0,0,0,5
14-Apr-20,0,5,0,0,0,5
15-Apr-20,0,5,0,0,0,5
16-Apr-20,0,5,0,0,0,5
17-Apr-20,0,5,0,0,0,5
18-Apr-20,0,5,0,0,0,5
19-Apr-20,0,5,0,0,0,5
