Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,0,0,0,0,0,0
25-Mar-20,0,0,0,0,0,0
26-Mar-20,0,0,0,0,0,0
27-Mar-20,0,0,0,0,0,0
28-Mar-20,0,0,0,0,0,0
29-Mar-20,0,0,0,0,0,0
30-Mar-20,0,0,0,0,0,0
31-Mar-20,0,0,0,0,0,0
01-Apr-20,0,0,0,0,0,0
02-Apr-20,0,0,0,0,0,0
03-Apr-20,0,0,0,0,0,0
04-Apr-20,0,0,0,0,0,0
05-Apr-20,0,0,0,0,0,0
06-Apr-20,0,0,0,0,0,0
07-Apr-20,0,0,0,0,0,0
08-Apr-20,0,0,0,0,0,0
09-Apr-20,0,0,0,0,0,0
10-Apr-20,0,0,0,0,0,0
11-Apr-20,0,0,0,0,0,0
12-Apr-20,0,0,0,0,0,0
13-Apr-20,0,0,0,0,0,0
14-Apr-20,0,0,0,0,0,0
15-Apr-20,0,0,0,0,0,0
16-Apr-20,0,0,0,0,0,0
17-Apr-20,0,0,0,0,0,0
18-Apr-20,0,0,0,0,0,0
19-Apr-20,0,0,0,0,0,0
20-Apr-20,0,0,0,0,0,0
21-Apr-20,0,0,0,0,0,0
22-Apr-20,0,0,0,0,0,0
23-Apr-20,0,0,0,0,0,0
24-Apr-20,0,0,0,0,0,0
25-Apr-20,0,0,0,0,0,0
26-Apr-20,0,0,0,0,0,0
27-Apr-20,0,0,0,0,0,0
28-Apr-20,0,0,0,0,0,0
29-Apr-20,0,0,0,0,0,0
30-Apr-20,0,0,0,0,0,0
01-May-20,0,0,0,0,0,0
02-May-20,0,0,0,0,0,0
03-May-20,0,0,0,0,0,0
04-May-20,0,0,0,0,0,0
05-May-20,1,1,0,0,0,0
06-May-20,0,1,0,0,0,0
07-May-20,0,1,0,0,0,0
08-May-20,0,1,0,0,0,0
09-May-20,0,1,0,0,0,0
10-May-20,0,1,0,0,0,0
11-May-20,0,1,0,0,0,0
12-May-20,0,1,0,0,1,1
13-May-20,0,1,0,0,0,1
14-May-20,0,1,0,0,0,1
15-May-20,0,1,0,0,0,1
16-May-20,0,1,0,0,0,1
17-May-20,0,1,0,0,0,1
18-May-20,0,1,0,0,0,1
19-May-20,0,1,0,0,0,1
20-May-20,0,1,0,0,0,1
21-May-20,0,1,0,0,0,1
22-May-20,0,1,0,0,0,1
23-May-20,1,2,0,0,0,1
24-May-20,0,2,0,0,0,1
25-May-20,0,2,0,0,0,1
26-May-20,0,2,0,0,0,1
27-May-20,0,2,0,0,0,1
28-May-20,0,2,0,0,0,1
29-May-20,0,2,0,0,0,1
30-May-20,0,2,0,0,0,1
31-May-20,0,2,0,0,0,1
01-Jun-20,1,3,0,0,0,1
02-Jun-20,0,3,0,0,0,1
03-Jun-20,8,11,0,0,0,1
04-Jun-20,3,14,0,0,0,1
05-Jun-20,0,14,0,0,0,1
06-Jun-20,5,19,0,0,0,1
07-Jun-20,1,20,0,0,1,2
08-Jun-20,2,22,0,0,0,2
09-Jun-20,2,24,0,0,0,2
10-Jun-20,5,29,0,0,0,2
11-Jun-20,1,30,0,0,0,2
12-Jun-20,0,30,0,0,0,2
13-Jun-20,5,35,0,0,0,2
14-Jun-20,4,39,0,0,0,2
15-Jun-20,0,39,0,0,0,2
16-Jun-20,15,54,0,0,7,9
17-Jun-20,5,59,0,0,3,12
18-Jun-20,4,63,0,0,2,14
19-Jun-20,14,77,0,0,0,14
20-Jun-20,17,94,0,0,12,26
21-Jun-20,5,99,0,0,1,27
22-Jun-20,15,114,0,0,0,27
23-Jun-20,9,123,0,0,0,27
24-Jun-20,13,136,0,0,3,30
25-Jun-20,20,156,0,0,8,38
26-Jun-20,15,171,0,0,12,50
27-Jun-20,15,186,0,0,6,56
28-Jun-20,4,190,0,0,13,69
29-Jun-20,15,205,0,0,6,75
30-Jun-20,10,215,0,0,7,82
01-Jul-20,16,231,0,0,27,109
02-Jul-20,25,256,0,0,3,112
03-Jul-20,50,306,0,0,21,133
04-Jul-20,37,343,0,0,9,142
05-Jul-20,32,375,0,0,17,159
06-Jul-20,27,402,0,0,16,175
07-Jul-20,27,429,1,1,10,185
08-Jul-20,15,444,0,1,11,196
09-Jul-20,14,458,0,1,10,206
10-Jul-20,14,472,0,1,19,225
11-Jul-20,14,486,0,1,12,237
