Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,2,0,0,0,0
15-Mar-20,0,2,0,0,0,0
16-Mar-20,0,2,0,0,0,0
17-Mar-20,0,2,0,0,0,0
18-Mar-20,0,2,0,0,0,0
19-Mar-20,0,2,0,0,0,0
20-Mar-20,6,8,0,0,0,0
21-Mar-20,3,11,0,0,0,0
22-Mar-20,2,13,0,0,0,0
23-Mar-20,2,15,0,0,0,0
24-Mar-20,1,16,0,0,0,0
25-Mar-20,3,19,0,0,0,0
26-Mar-20,0,19,0,0,2,2
27-Mar-20,0,19,0,0,0,2
28-Mar-20,0,19,1,1,2,4
29-Mar-20,1,20,0,1,0,4
30-Mar-20,0,20,0,1,0,4
31-Mar-20,0,20,0,1,0,4
01-Apr-20,3,23,0,1,0,4
02-Apr-20,0,23,0,1,0,4
03-Apr-20,0,23,0,1,0,4
04-Apr-20,1,24,0,1,0,4
05-Apr-20,0,24,0,1,0,4
06-Apr-20,0,24,0,1,0,4
07-Apr-20,0,24,0,1,2,6
08-Apr-20,0,24,0,1,0,6
09-Apr-20,0,24,0,1,0,6
10-Apr-20,0,24,0,1,0,6
11-Apr-20,0,24,0,1,0,6
12-Apr-20,0,24,0,1,0,6
13-Apr-20,0,24,0,1,0,6
14-Apr-20,0,24,0,1,0,6
15-Apr-20,0,24,0,1,0,6
16-Apr-20,0,24,0,1,0,6
17-Apr-20,0,24,0,1,0,6
18-Apr-20,0,24,0,1,0,6
19-Apr-20,0,24,0,1,0,6
