Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,0,0,0,0,0,0
25-Mar-20,3,3,0,0,0,0
26-Mar-20,0,3,0,0,0,0
27-Mar-20,0,3,0,0,0,0
28-Mar-20,0,3,0,0,0,0
29-Mar-20,2,5,0,0,0,0
30-Mar-20,0,5,0,0,0,0
31-Mar-20,0,5,0,0,0,0
01-Apr-20,0,5,0,0,0,0
02-Apr-20,0,5,0,0,0,0
03-Apr-20,1,6,0,0,0,0
04-Apr-20,1,7,0,0,0,0
05-Apr-20,0,7,0,0,0,0
06-Apr-20,0,7,0,0,0,0
07-Apr-20,0,7,0,0,0,0
08-Apr-20,0,7,0,0,0,0
09-Apr-20,0,7,0,0,0,0
10-Apr-20,0,7,0,0,1,1
11-Apr-20,0,7,0,0,4,5
12-Apr-20,0,7,0,0,0,5
13-Apr-20,0,7,0,0,0,5
14-Apr-20,0,7,0,0,0,5
15-Apr-20,0,7,0,0,1,6
16-Apr-20,0,7,0,0,0,6
17-Apr-20,0,7,0,0,0,6
18-Apr-20,0,7,0,0,0,6
19-Apr-20,0,7,0,0,1,7
20-Apr-20,0,7,0,0,0,7
21-Apr-20,0,7,0,0,0,7
22-Apr-20,0,7,0,0,0,7
23-Apr-20,0,7,0,0,0,7
24-Apr-20,0,7,0,0,0,7
25-Apr-20,0,7,0,0,0,7
26-Apr-20,0,7,0,0,0,7
27-Apr-20,0,7,0,0,0,7
28-Apr-20,0,7,0,0,0,7
29-Apr-20,0,7,0,0,0,7
30-Apr-20,0,7,0,0,0,7
01-May-20,0,7,0,0,0,7
02-May-20,0,7,0,0,0,7
03-May-20,0,7,0,0,0,7
04-May-20,0,7,0,0,0,7
05-May-20,0,7,0,0,0,7
06-May-20,0,7,0,0,0,7
07-May-20,0,7,0,0,0,7
08-May-20,0,7,0,0,0,7
09-May-20,0,7,0,0,0,7
10-May-20,0,7,0,0,0,7
11-May-20,0,7,0,0,0,7
12-May-20,0,7,0,0,0,7
13-May-20,0,7,0,0,0,7
14-May-20,8,15,0,0,0,7
15-May-20,0,15,0,0,0,7
