Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,2,2,0,0,0,0
20-Mar-20,5,7,0,0,0,0
21-Mar-20,7,14,0,0,0,0
22-Mar-20,4,18,1,1,0,0
23-Mar-20,12,30,0,1,0,0
24-Mar-20,4,34,0,1,0,0
25-Mar-20,4,38,0,1,0,0
26-Mar-20,5,43,2,3,0,0
27-Mar-20,4,47,0,3,0,0
28-Mar-20,8,55,1,4,0,0
29-Mar-20,8,63,1,5,1,1
30-Mar-20,7,70,1,6,2,3
31-Mar-20,4,74,0,6,2,5
01-Apr-20,13,87,0,6,0,5
02-Apr-20,1,88,1,7,5,10
03-Apr-20,7,95,2,9,0,10
04-Apr-20,13,108,1,10,3,13
05-Apr-20,20,128,1,11,8,21
06-Apr-20,18,146,1,12,1,22
07-Apr-20,29,175,2,14,3,25
08-Apr-20,11,186,2,16,0,25
09-Apr-20,76,262,2,18,1,26
10-Apr-20,116,378,1,19,7,33
11-Apr-20,90,468,3,22,11,44
12-Apr-20,48,516,2,24,0,44
13-Apr-20,56,572,2,26,10,54
14-Apr-20,78,650,2,28,5,59
15-Apr-20,116,766,5,33,5,64
16-Apr-20,163,929,3,36,9,73
17-Apr-20,170,1099,5,41,13,86
18-Apr-20,277,1376,12,53,7,93
19-Apr-20,367,1743,10,63,12,105
20-Apr-20,196,1939,8,71,26,131
21-Apr-20,239,2178,19,90,8,139
22-Apr-20,229,2407,13,103,40,179
23-Apr-20,217,2624,9,112,79,258
24-Apr-20,191,2815,15,127,7,265
25-Apr-20,256,3071,6,133,17,282
26-Apr-20,230,3301,18,151,31,313
27-Apr-20,247,3548,11,162,81,394
28-Apr-20,226,3774,19,181,40,434
29-Apr-20,308,4082,16,197,93,527
30-Apr-20,313,4395,17,214,86,613
