Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,3,3,0,0,1,1
21-Mar-20,2,5,0,0,0,1
22-Mar-20,3,8,0,0,0,1
23-Mar-20,6,14,0,0,0,1
24-Mar-20,0,14,0,0,0,1
25-Mar-20,0,14,1,1,0,1
26-Mar-20,0,14,0,1,0,1
27-Mar-20,0,14,0,1,0,1
28-Mar-20,3,17,0,1,0,1
29-Mar-20,4,21,0,1,0,1
30-Mar-20,1,22,0,1,0,1
31-Mar-20,1,23,0,1,0,1
01-Apr-20,8,31,0,1,0,1
02-Apr-20,0,31,0,1,0,1
03-Apr-20,7,38,0,1,0,1
04-Apr-20,7,45,0,1,0,1
05-Apr-20,8,53,0,1,0,1
06-Apr-20,11,64,0,1,0,1
07-Apr-20,19,83,0,1,0,1
08-Apr-20,0,83,0,1,0,1
09-Apr-20,59,142,0,1,0,1
10-Apr-20,55,197,0,1,0,1
11-Apr-20,46,243,0,1,0,1
12-Apr-20,39,282,0,1,0,1
13-Apr-20,38,320,0,1,0,1
14-Apr-20,53,373,0,1,0,1
15-Apr-20,77,450,0,1,0,1
16-Apr-20,95,545,0,1,0,1
17-Apr-20,78,623,0,1,0,1
18-Apr-20,239,862,0,1,0,1
19-Apr-20,239,1101,0,1,0,1
20-Apr-20,0,1101,0,1,0,1
21-Apr-20,272,1373,0,1,0,1
22-Apr-20,128,1501,62,62,86,86
23-Apr-20,151,1652,7,69,27,113
24-Apr-20,169,1821,14,83,0,113
25-Apr-20,182,2003,3,86,2,115
26-Apr-20,178,2181,0,86,0,115
27-Apr-20,197,2378,23,109,97,212
28-Apr-20,164,2542,19,128,29,241
29-Apr-20,235,2777,9,137,22,263
30-Apr-20,249,3026,12,149,53,316
01-May-20,267,3293,16,165,83,399
02-May-20,250,3543,20,185,63,462
03-May-20,274,3817,23,208,71,533
04-May-20,259,4076,26,234,87,620
05-May-20,349,4425,39,273,84,704
06-May-20,291,4716,25,298,74,778
07-May-20,275,4991,23,321,108,886
08-May-20,269,5260,22,343,115,1001
09-May-20,280,5540,20,363,106,1107
10-May-20,278,5818,18,381,266,1373
11-May-20,268,6086,19,400,109,1482
12-May-20,267,6353,21,421,392,1874
13-May-20,292,6645,25,446,238,2112
14-May-20,265,6910,19,465,135,2247
15-May-20,261,7171,14,479,135,2382
