Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,0.0,0,0.0,0,0.0,0
29-Mar-20,0.0,0,0.0,0,0.0,0
30-Mar-20,0.0,0,0.0,0,0.0,0
31-Mar-20,0.0,0,0.0,0,0.0,0
01-Apr-20,0.0,0,0.0,0,0.0,0
02-Apr-20,0.0,0,0.0,0,0.0,0
03-Apr-20,0.0,0,0.0,0,0.0,0
04-Apr-20,0.0,0,0.0,0,0.0,0
05-Apr-20,0.0,0,0.0,0,0.0,0
06-Apr-20,0.0,0,0.0,0,0.0,0
07-Apr-20,1.0,1,0.0,0,0.0,0
08-Apr-20,0.0,1,0.0,0,0.0,0
09-Apr-20,1.0,2,0.0,0,0.0,0
10-Apr-20,0.0,2,0.0,0,0.0,0
11-Apr-20,3.0,5,0.0,0,0.0,0
12-Apr-20,3.0,8,0.0,0,0.0,0
13-Apr-20,1.0,9,0.0,0,0.0,0
14-Apr-20,1.0,10,0.0,0,0.0,0
15-Apr-20,7.0,17,0.0,0,0.0,0
16-Apr-20,8.0,25,0.0,0,0.0,0
17-Apr-20,1.0,26,0.0,0,0.0,0
18-Apr-20,1.0,27,0.0,0,0.0,0
19-Apr-20,1.0,28,0.0,0,0.0,0
20-Apr-20,0.0,28,0.0,0,0.0,0
21-Apr-20,0.0,28,0.0,0,0.0,0
22-Apr-20,2.0,30,2.0,2,4.0,4
23-Apr-20,3.0,33,0.0,2,5.0,9
24-Apr-20,3.0,36,0.0,2,4.0,13
25-Apr-20,5.0,41,1.0,3,1.0,14
26-Apr-20,8.0,49,0.0,3,0.0,14
27-Apr-20,2.0,51,0.0,3,1.0,15
28-Apr-20,9.0,60,0.0,3,3.0,18
29-Apr-20,11.0,71,0.0,3,5.0,23
30-Apr-20,3.0,74,1.0,4,1.0,24
01-May-20,0.0,74,0.0,4,6.0,30
02-May-20,0.0,74,1.0,5,1.0,31
03-May-20,0.0,74,1.0,6,3.0,34
04-May-20,1.0,75,0.0,6,3.0,37
05-May-20,0.0,75,0.0,6,0.0,37
06-May-20,1.0,76,0.0,6,1.0,38
07-May-20,0.0,76,0.0,6,5.0,43
08-May-20,1.0,77,0.0,6,3.0,46
09-May-20,0.0,77,0.0,6,0.0,46
10-May-20,1.0,78,1.0,7,17.0,63
11-May-20,2.0,80,0.0,7,7.0,70
12-May-20,0.0,80,0.0,7,0.0,70
13-May-20,0.0,80,0.0,7,0.0,70
14-May-20,2.0,82,0.0,7,0.0,70
15-May-20,0.0,82,1.0,8,0.0,70
