Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,0,0,0,0,0,0
25-Mar-20,0,0,0,0,0,0
26-Mar-20,0,0,0,0,0,0
27-Mar-20,0,0,0,0,0,0
28-Mar-20,1,1,0,0,0,0
29-Mar-20,0,1,0,0,0,0
30-Mar-20,5,6,1,1,0,0
31-Mar-20,0,6,0,1,0,0
01-Apr-20,0,6,0,1,0,0
02-Apr-20,1,7,0,1,0,0
03-Apr-20,0,7,0,1,0,0
04-Apr-20,2,9,0,1,0,0
05-Apr-20,4,13,0,1,0,0
06-Apr-20,0,13,0,1,0,0
07-Apr-20,1,14,0,1,0,0
08-Apr-20,4,18,0,1,0,0
09-Apr-20,0,18,0,1,0,0
10-Apr-20,4,22,0,1,0,0
11-Apr-20,1,23,0,1,0,0
12-Apr-20,0,23,0,1,0,0
13-Apr-20,0,23,0,1,0,0
14-Apr-20,3,26,0,1,0,0
15-Apr-20,0,26,0,1,0,0
16-Apr-20,0,26,0,1,0,0
17-Apr-20,0,26,0,1,0,0
18-Apr-20,4,30,0,1,0,0
19-Apr-20,2,32,0,1,0,0
20-Apr-20,0,32,0,1,0,0
21-Apr-20,0,32,0,1,0,0
22-Apr-20,0,32,4,5,18,18
23-Apr-20,1,33,0,5,0,18
24-Apr-20,2,35,0,5,0,18
25-Apr-20,5,40,0,5,0,18
26-Apr-20,0,40,0,5,0,18
27-Apr-20,0,40,0,5,1,19
28-Apr-20,1,41,0,5,1,20
29-Apr-20,2,43,0,5,1,21
30-Apr-20,4,47,0,5,0,21
01-May-20,0,47,0,5,0,21
02-May-20,6,53,0,5,0,21
03-May-20,0,53,0,5,0,21
04-May-20,21,74,0,5,0,21
05-May-20,2,76,0,5,0,21
06-May-20,6,82,0,5,0,21
07-May-20,1,83,0,5,0,21
08-May-20,1,84,1,6,2,23
09-May-20,10,94,0,6,4,27
10-May-20,0,94,1,7,15,42
11-May-20,1,95,0,7,0,42
12-May-20,2,97,0,7,0,42
13-May-20,3,100,0,7,4,46
14-May-20,3,103,0,7,0,46
15-May-20,0,103,0,7,23,69
