Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,0.0,0,0.0,0,0.0,0
29-Mar-20,0.0,0,0.0,0,0.0,0
30-Mar-20,0.0,0,0.0,0,0.0,0
31-Mar-20,0.0,0,0.0,0,0.0,0
01-Apr-20,0.0,0,0.0,0,0.0,0
02-Apr-20,0.0,0,0.0,0,0.0,0
03-Apr-20,0.0,0,0.0,0,0.0,0
04-Apr-20,0.0,0,0.0,0,0.0,0
05-Apr-20,0.0,0,0.0,0,0.0,0
06-Apr-20,0.0,0,0.0,0,0.0,0
07-Apr-20,0.0,0,0.0,0,0.0,0
08-Apr-20,0.0,0,0.0,0,0.0,0
09-Apr-20,0.0,0,0.0,0,0.0,0
10-Apr-20,0.0,0,0.0,0,0.0,0
11-Apr-20,0.0,0,0.0,0,0.0,0
12-Apr-20,0.0,0,0.0,0,0.0,0
13-Apr-20,0.0,0,0.0,0,0.0,0
14-Apr-20,0.0,0,0.0,0,0.0,0
15-Apr-20,1.0,1,0.0,0,0.0,0
16-Apr-20,0.0,1,0.0,0,0.0,0
17-Apr-20,3.0,4,0.0,0,0.0,0
18-Apr-20,0.0,4,0.0,0,0.0,0
19-Apr-20,1.0,5,0.0,0,0.0,0
20-Apr-20,0.0,5,0.0,0,0.0,0
21-Apr-20,2.0,7,0.0,0,0.0,0
22-Apr-20,2.0,9,1.0,1,0.0,0
23-Apr-20,2.0,11,0.0,1,0.0,0
24-Apr-20,1.0,12,0.0,1,0.0,0
25-Apr-20,0.0,12,0.0,1,0.0,0
26-Apr-20,0.0,12,0.0,1,0.0,0
27-Apr-20,1.0,13,0.0,1,0.0,0
28-Apr-20,6.0,19,0.0,1,2.0,2
29-Apr-20,1.0,20,0.0,1,0.0,2
30-Apr-20,0.0,20,0.0,1,0.0,2
01-May-20,1.0,21,0.0,1,0.0,2
02-May-20,6.0,27,0.0,1,0.0,2
03-May-20,3.0,30,0.0,1,1.0,3
04-May-20,3.0,33,0.0,1,3.0,6
05-May-20,8.0,41,0.0,1,0.0,6
06-May-20,7.0,48,0.0,1,2.0,8
07-May-20,0.0,48,0.0,1,0.0,8
08-May-20,3.0,51,0.0,1,3.0,11
09-May-20,2.0,53,0.0,1,2.0,13
10-May-20,3.0,56,0.0,1,3.0,16
11-May-20,0.0,56,0.0,1,2.0,18
12-May-20,0.0,56,0.0,1,4.0,22
13-May-20,0.0,56,0.0,1,0.0,22
14-May-20,0.0,56,0.0,1,7.0,29
15-May-20,0.0,56,0.0,1,12.0,41
