Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,0.0,0,0.0,0,0.0,0
29-Mar-20,0.0,0,0.0,0,0.0,0
30-Mar-20,0.0,0,0.0,0,0.0,0
31-Mar-20,0.0,0,0.0,0,0.0,0
01-Apr-20,0.0,0,0.0,0,0.0,0
02-Apr-20,0.0,0,0.0,0,0.0,0
03-Apr-20,0.0,0,0.0,0,0.0,0
04-Apr-20,1.0,1,0.0,0,0.0,0
05-Apr-20,0.0,1,0.0,0,0.0,0
06-Apr-20,1.0,2,0.0,0,0.0,0
07-Apr-20,3.0,5,0.0,0,0.0,0
08-Apr-20,0.0,5,0.0,0,0.0,0
09-Apr-20,7.0,12,0.0,0,0.0,0
10-Apr-20,2.0,14,0.0,0,0.0,0
11-Apr-20,0.0,14,0.0,0,0.0,0
12-Apr-20,0.0,14,0.0,0,0.0,0
13-Apr-20,0.0,14,0.0,0,0.0,0
14-Apr-20,0.0,14,0.0,0,0.0,0
15-Apr-20,0.0,14,0.0,0,0.0,0
16-Apr-20,0.0,14,0.0,0,0.0,0
17-Apr-20,1.0,15,0.0,0,0.0,0
18-Apr-20,0.0,15,0.0,0,0.0,0
19-Apr-20,0.0,15,0.0,0,0.0,0
20-Apr-20,0.0,15,0.0,0,0.0,0
21-Apr-20,0.0,15,0.0,0,0.0,0
22-Apr-20,0.0,15,1.0,1,11.0,11
23-Apr-20,0.0,15,0.0,1,0.0,11
24-Apr-20,0.0,15,0.0,1,0.0,11
25-Apr-20,1.0,16,0.0,1,0.0,11
26-Apr-20,1.0,17,0.0,1,0.0,11
27-Apr-20,0.0,17,0.0,1,0.0,11
28-Apr-20,0.0,17,0.0,1,0.0,11
29-Apr-20,0.0,17,0.0,1,0.0,11
30-Apr-20,0.0,17,0.0,1,0.0,11
01-May-20,1.0,18,0.0,1,1.0,12
02-May-20,3.0,21,0.0,1,0.0,12
03-May-20,1.0,22,0.0,1,0.0,12
04-May-20,0.0,22,0.0,1,0.0,12
05-May-20,2.0,24,0.0,1,0.0,12
06-May-20,0.0,24,0.0,1,0.0,12
07-May-20,0.0,24,0.0,1,1.0,13
08-May-20,0.0,24,0.0,1,2.0,15
09-May-20,0.0,24,0.0,1,0.0,15
10-May-20,3.0,27,0.0,1,4.0,19
11-May-20,0.0,27,0.0,1,1.0,20
12-May-20,2.0,29,0.0,1,1.0,21
13-May-20,2.0,31,1.0,2,1.0,22
14-May-20,3.0,34,0.0,2,0.0,22
15-May-20,1.0,35,0.0,2,0.0,22
