Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,1.0,1,0.0,0,0.0,0
20-Mar-20,0.0,1,0.0,0,0.0,0
21-Mar-20,0.0,1,0.0,0,0.0,0
22-Mar-20,0.0,1,0.0,0,0.0,0
23-Mar-20,0.0,1,0.0,0,0.0,0
24-Mar-20,2.0,3,0.0,0,0.0,0
25-Mar-20,0.0,3,0.0,0,0.0,0
26-Mar-20,2.0,5,0.0,0,0.0,0
27-Mar-20,3.0,8,0.0,0,0.0,0
28-Mar-20,0.0,8,0.0,0,0.0,0
29-Mar-20,1.0,9,0.0,0,0.0,0
30-Mar-20,0.0,9,0.0,0,0.0,0
31-Mar-20,1.0,10,0.0,0,0.0,0
01-Apr-20,0.0,10,0.0,0,0.0,0
02-Apr-20,0.0,10,0.0,0,0.0,0
03-Apr-20,0.0,10,0.0,0,0.0,0
04-Apr-20,0.0,10,0.0,0,0.0,0
05-Apr-20,0.0,10,0.0,0,0.0,0
06-Apr-20,0.0,10,0.0,0,0.0,0
07-Apr-20,1.0,11,0.0,0,0.0,0
08-Apr-20,0.0,11,0.0,0,0.0,0
09-Apr-20,2.0,13,0.0,0,0.0,0
10-Apr-20,5.0,18,0.0,0,0.0,0
11-Apr-20,0.0,18,0.0,0,0.0,0
12-Apr-20,0.0,18,0.0,0,0.0,0
13-Apr-20,0.0,18,0.0,0,0.0,0
14-Apr-20,0.0,18,0.0,0,0.0,0
15-Apr-20,6.0,24,0.0,0,0.0,0
16-Apr-20,4.0,28,0.0,0,0.0,0
17-Apr-20,0.0,28,0.0,0,0.0,0
18-Apr-20,2.0,30,0.0,0,0.0,0
19-Apr-20,6.0,36,0.0,0,0.0,0
20-Apr-20,0.0,36,0.0,0,0.0,0
21-Apr-20,4.0,40,0.0,0,0.0,0
22-Apr-20,1.0,41,0.0,0,12.0,12
23-Apr-20,0.0,41,0.0,0,0.0,12
24-Apr-20,0.0,41,0.0,0,0.0,12
25-Apr-20,0.0,41,0.0,0,2.0,14
26-Apr-20,4.0,45,0.0,0,0.0,14
27-Apr-20,1.0,46,0.0,0,1.0,15
28-Apr-20,9.0,55,0.0,0,0.0,15
29-Apr-20,3.0,58,1.0,1,1.0,16
30-Apr-20,0.0,58,0.0,1,1.0,17
01-May-20,0.0,58,0.0,1,1.0,18
02-May-20,0.0,58,0.0,1,0.0,18
03-May-20,0.0,58,0.0,1,0.0,18
04-May-20,3.0,61,0.0,1,0.0,18
05-May-20,1.0,62,0.0,1,8.0,26
06-May-20,0.0,62,0.0,1,0.0,26
07-May-20,2.0,64,0.0,1,0.0,26
08-May-20,0.0,64,0.0,1,0.0,26
09-May-20,2.0,66,0.0,1,0.0,26
10-May-20,0.0,66,0.0,1,4.0,30
11-May-20,0.0,66,0.0,1,16.0,46
12-May-20,0.0,66,1.0,2,0.0,46
13-May-20,0.0,66,0.0,2,5.0,51
14-May-20,0.0,66,0.0,2,0.0,51
15-May-20,12.0,78,0.0,2,0.0,51
