Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,1,1,0,0,0,0
20-Mar-20,0,1,0,0,0,0
21-Mar-20,2,3,0,0,0,0
22-Mar-20,0,3,1,1,0,0
23-Mar-20,1,4,0,1,0,0
24-Mar-20,1,5,0,1,0,0
25-Mar-20,2,7,0,1,0,0
26-Mar-20,1,8,0,1,0,0
27-Mar-20,0,8,0,1,0,0
28-Mar-20,0,8,0,1,0,0
29-Mar-20,1,9,0,1,0,0
30-Mar-20,0,9,0,1,0,0
31-Mar-20,1,10,0,1,0,0
01-Apr-20,2,12,0,1,0,0
02-Apr-20,0,12,0,1,0,0
03-Apr-20,0,12,0,1,0,0
04-Apr-20,1,13,0,1,0,0
05-Apr-20,3,16,0,1,0,0
06-Apr-20,3,19,0,1,0,0
07-Apr-20,3,22,0,1,0,0
08-Apr-20,1,23,0,1,0,0
09-Apr-20,1,24,0,1,0,0
10-Apr-20,3,27,0,1,0,0
11-Apr-20,1,28,0,1,0,0
12-Apr-20,0,28,0,1,0,0
13-Apr-20,5,33,0,1,0,0
14-Apr-20,9,42,0,1,0,0
15-Apr-20,9,51,0,1,0,0
16-Apr-20,37,88,0,1,0,0
17-Apr-20,52,140,0,1,0,0
18-Apr-20,13,153,0,1,0,0
19-Apr-20,89,242,0,1,0,0
20-Apr-20,0,242,0,1,0,0
21-Apr-20,105,347,0,1,0,0
22-Apr-20,68,415,11,12,13,13
23-Apr-20,41,456,1,13,0,13
24-Apr-20,6,462,1,14,2,15
25-Apr-20,34,496,1,15,1,16
26-Apr-20,30,526,0,15,0,16
27-Apr-20,30,556,4,19,4,20
28-Apr-20,14,570,0,19,0,20
29-Apr-20,31,601,3,22,20,40
30-Apr-20,13,614,3,25,14,54
01-May-20,26,640,1,26,12,66
02-May-20,17,657,2,28,33,99
03-May-20,29,686,2,30,57,156
04-May-20,20,706,1,31,50,206
05-May-20,17,723,2,33,76,282
06-May-20,31,754,0,33,32,314
07-May-20,45,799,4,37,51,365
08-May-20,25,824,1,38,24,389
09-May-20,30,854,0,38,46,435
10-May-20,41,895,1,39,33,468
11-May-20,19,914,0,39,65,533
12-May-20,30,944,1,40,23,556
13-May-20,23,967,3,43,6,562
14-May-20,16,983,1,44,12,574
15-May-20,32,1015,3,47,60,634
