Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,2.0,2,0.0,0,0.0,0
21-Mar-20,1.0,3,0.0,0,0.0,0
22-Mar-20,0.0,3,0.0,0,0.0,0
23-Mar-20,4.0,7,0.0,0,0.0,0
24-Mar-20,0.0,7,0.0,0,0.0,0
25-Mar-20,0.0,7,0.0,0,0.0,0
26-Mar-20,0.0,7,0.0,0,0.0,0
27-Mar-20,0.0,7,0.0,0,0.0,0
28-Mar-20,2.0,9,0.0,0,0.0,0
29-Mar-20,0.0,9,0.0,0,0.0,0
30-Mar-20,0.0,9,0.0,0,0.0,0
31-Mar-20,0.0,9,0.0,0,0.0,0
01-Apr-20,0.0,9,0.0,0,0.0,0
02-Apr-20,0.0,9,0.0,0,0.0,0
03-Apr-20,0.0,9,0.0,0,0.0,0
04-Apr-20,0.0,9,0.0,0,0.0,0
05-Apr-20,1.0,10,0.0,0,0.0,0
06-Apr-20,2.0,12,0.0,0,0.0,0
07-Apr-20,0.0,12,0.0,0,0.0,0
08-Apr-20,6.0,18,0.0,0,0.0,0
09-Apr-20,4.0,22,0.0,0,0.0,0
10-Apr-20,37.0,59,0.0,0,0.0,0
11-Apr-20,36.0,95,0.0,0,0.0,0
12-Apr-20,6.0,101,0.0,0,0.0,0
13-Apr-20,6.0,107,0.0,0,0.0,0
14-Apr-20,6.0,113,0.0,0,0.0,0
15-Apr-20,8.0,121,0.0,0,0.0,0
16-Apr-20,7.0,128,0.0,0,0.0,0
17-Apr-20,16.0,144,0.0,0,0.0,0
18-Apr-20,14.0,158,0.0,0,0.0,0
19-Apr-20,22.0,180,0.0,0,0.0,0
20-Apr-20,0.0,180,0.0,0,0.0,0
21-Apr-20,19.0,199,0.0,0,0.0,0
22-Apr-20,9.0,208,10.0,10,8.0,8
23-Apr-20,10.0,218,1.0,11,45.0,53
24-Apr-20,5.0,223,0.0,11,0.0,53
25-Apr-20,7.0,230,1.0,12,3.0,56
26-Apr-20,4.0,234,0.0,12,0.0,56
27-Apr-20,6.0,240,1.0,13,0.0,56
28-Apr-20,15.0,255,0.0,13,2.0,58
29-Apr-20,15.0,270,3.0,16,29.0,87
30-Apr-20,19.0,289,1.0,17,0.0,87
01-May-20,19.0,308,4.0,21,15.0,102
02-May-20,17.0,325,3.0,24,40.0,142
03-May-20,25.0,350,1.0,25,4.0,146
04-May-20,35.0,385,2.0,27,1.0,147
05-May-20,20.0,405,3.0,30,11.0,158
06-May-20,16.0,421,1.0,31,6.0,164
07-May-20,19.0,440,0.0,31,27.0,191
08-May-20,25.0,465,0.0,31,7.0,198
09-May-20,28.0,493,0.0,31,52.0,250
10-May-20,25.0,518,0.0,31,41.0,291
11-May-20,29.0,547,0.0,31,7.0,298
12-May-20,27.0,574,1.0,32,13.0,311
13-May-20,18.0,592,0.0,32,44.0,355
14-May-20,13.0,605,0.0,32,8.0,363
15-May-20,15.0,620,0.0,32,8.0,371
