Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,14,14,0,0,0,0
15-Mar-20,0,14,0,0,0,0
16-Mar-20,0,14,0,0,0,0
17-Mar-20,1,15,0,0,0,0
18-Mar-20,1,16,0,0,0,0
19-Mar-20,1,17,0,0,0,0
20-Mar-20,2,19,0,0,0,0
21-Mar-20,2,21,0,0,0,0
22-Mar-20,0,21,0,0,0,0
23-Mar-20,7,28,0,0,11,11
24-Mar-20,2,30,0,0,0,11
25-Mar-20,1,31,0,0,0,11
26-Mar-20,1,32,0,0,0,11
27-Mar-20,1,33,0,0,0,11
28-Mar-20,2,35,0,0,0,11
29-Mar-20,0,35,0,0,0,11
30-Mar-20,1,36,0,0,6,17
31-Mar-20,7,43,0,0,0,17
01-Apr-20,0,43,0,0,10,27
02-Apr-20,6,49,0,0,0,27
03-Apr-20,9,58,0,0,0,27
04-Apr-20,26,84,0,0,1,28
05-Apr-20,6,90,0,0,0,28
06-Apr-20,20,110,2,2,0,28
07-Apr-20,33,143,0,2,2,30
08-Apr-20,24,167,0,2,1,31
09-Apr-20,3,170,0,2,0,31
10-Apr-20,6,176,0,2,4,35
11-Apr-20,3,179,0,2,0,35
12-Apr-20,16,195,1,3,8,43
13-Apr-20,1,196,0,3,7,50
14-Apr-20,2,198,0,3,4,54
15-Apr-20,6,204,0,3,2,56
16-Apr-20,11,215,0,3,8,64
17-Apr-20,8,223,0,3,21,85
18-Apr-20,9,232,0,3,14,99
19-Apr-20,18,250,0,3,4,103
20-Apr-20,1,251,0,3,37,140
21-Apr-20,4,255,0,3,6,146
22-Apr-20,9,264,0,3,11,157
23-Apr-20,6,270,0,3,12,169
24-Apr-20,5,275,0,3,16,185
25-Apr-20,12,287,0,3,5,190
26-Apr-20,9,296,0,3,8,198
27-Apr-20,5,301,0,3,14,212
28-Apr-20,7,308,0,3,11,223
29-Apr-20,3,311,0,3,1,224
30-Apr-20,28,339,1,4,10,234
01-May-20,18,357,0,4,6,240
02-May-20,19,376,1,5,1,241
03-May-20,66,442,0,5,3,244
04-May-20,75,517,1,6,9,253
05-May-20,31,548,0,6,2,255
06-May-20,46,594,1,7,4,259
07-May-20,31,625,0,7,0,259
08-May-20,22,647,1,8,19,278
09-May-20,28,675,1,9,11,289
10-May-20,28,703,1,10,10,299
11-May-20,27,730,1,11,37,336
12-May-20,50,780,0,11,5,341
13-May-20,13,793,0,11,76,417
14-May-20,25,818,0,11,21,438
15-May-20,36,854,2,13,25,463
16-May-20,33,887,0,13,50,513
17-May-20,23,910,1,14,48,561
