Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,1.0,1,0.0,0,0.0,0
21-Mar-20,0.0,1,0.0,0,0.0,0
22-Mar-20,0.0,1,0.0,0,0.0,0
23-Mar-20,0.0,1,0.0,0,0.0,0
24-Mar-20,1.0,2,0.0,0,0.0,0
25-Mar-20,0.0,2,0.0,0,0.0,0
26-Mar-20,0.0,2,0.0,0,0.0,0
27-Mar-20,0.0,2,0.0,0,0.0,0
28-Mar-20,1.0,3,0.0,0,0.0,0
29-Mar-20,0.0,3,0.0,0,0.0,0
30-Mar-20,1.0,4,0.0,0,0.0,0
31-Mar-20,2.0,6,0.0,0,0.0,0
01-Apr-20,0.0,6,0.0,0,0.0,0
02-Apr-20,0.0,6,0.0,0,0.0,0
03-Apr-20,0.0,6,0.0,0,0.0,0
04-Apr-20,8.0,14,0.0,0,0.0,0
05-Apr-20,0.0,14,0.0,0,0.0,0
06-Apr-20,0.0,14,0.0,0,0.0,0
07-Apr-20,7.0,21,0.0,0,0.0,0
08-Apr-20,7.0,28,0.0,0,0.0,0
09-Apr-20,0.0,28,0.0,0,0.0,0
10-Apr-20,0.0,28,0.0,0,0.0,0
11-Apr-20,1.0,29,0.0,0,0.0,0
12-Apr-20,2.0,31,0.0,0,0.0,0
13-Apr-20,0.0,31,0.0,0,0.0,0
14-Apr-20,2.0,33,0.0,0,0.0,0
15-Apr-20,0.0,33,0.0,0,0.0,0
16-Apr-20,0.0,33,0.0,0,0.0,0
17-Apr-20,0.0,33,0.0,0,0.0,0
18-Apr-20,0.0,33,0.0,0,0.0,0
19-Apr-20,9.0,42,0.0,0,0.0,0
20-Apr-20,0.0,42,0.0,0,0.0,0
21-Apr-20,1.0,43,0.0,0,0.0,0
22-Apr-20,0.0,43,0.0,0,26.0,26
23-Apr-20,0.0,43,0.0,0,2.0,28
24-Apr-20,0.0,43,0.0,0,1.0,29
25-Apr-20,0.0,43,0.0,0,0.0,29
26-Apr-20,2.0,45,0.0,0,0.0,29
27-Apr-20,1.0,46,0.0,0,8.0,37
28-Apr-20,0.0,46,0.0,0,3.0,40
29-Apr-20,0.0,46,0.0,0,1.0,41
30-Apr-20,7.0,53,1.0,1,0.0,41
01-May-20,8.0,61,0.0,1,1.0,42
02-May-20,0.0,61,0.0,1,0.0,42
03-May-20,12.0,73,0.0,1,0.0,42
04-May-20,2.0,75,1.0,2,0.0,42
05-May-20,1.0,76,0.0,2,1.0,43
06-May-20,2.0,78,0.0,2,0.0,43
07-May-20,6.0,84,0.0,2,0.0,43
08-May-20,4.0,88,0.0,2,11.0,54
09-May-20,0.0,88,0.0,2,1.0,55
10-May-20,7.0,95,0.0,2,0.0,55
11-May-20,7.0,102,2.0,4,0.0,55
12-May-20,13.0,115,0.0,4,2.0,57
13-May-20,4.0,119,0.0,4,1.0,58
14-May-20,12.0,131,0.0,4,4.0,62
15-May-20,9.0,140,1.0,5,13.0,75
