Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,1.0,1,0.0,0,0.0,0
22-Mar-20,0.0,1,0.0,0,0.0,0
23-Mar-20,0.0,1,0.0,0,0.0,0
24-Mar-20,0.0,1,0.0,0,0.0,0
25-Mar-20,0.0,1,0.0,0,0.0,0
26-Mar-20,0.0,1,0.0,0,0.0,0
27-Mar-20,0.0,1,0.0,0,0.0,0
28-Mar-20,0.0,1,0.0,0,0.0,0
29-Mar-20,0.0,1,0.0,0,0.0,0
30-Mar-20,0.0,1,0.0,0,0.0,0
31-Mar-20,0.0,1,0.0,0,0.0,0
01-Apr-20,0.0,1,0.0,0,0.0,0
02-Apr-20,0.0,1,0.0,0,0.0,0
03-Apr-20,0.0,1,0.0,0,0.0,0
04-Apr-20,0.0,1,0.0,0,0.0,0
05-Apr-20,0.0,1,0.0,0,0.0,0
06-Apr-20,0.0,1,0.0,0,0.0,0
07-Apr-20,0.0,1,0.0,0,0.0,0
08-Apr-20,1.0,2,0.0,0,0.0,0
09-Apr-20,0.0,2,0.0,0,0.0,0
10-Apr-20,1.0,3,0.0,0,0.0,0
11-Apr-20,0.0,3,0.0,0,0.0,0
12-Apr-20,0.0,3,0.0,0,0.0,0
13-Apr-20,0.0,3,0.0,0,0.0,0
14-Apr-20,0.0,3,0.0,0,0.0,0
15-Apr-20,1.0,4,0.0,0,0.0,0
16-Apr-20,0.0,4,0.0,0,0.0,0
17-Apr-20,0.0,4,0.0,0,0.0,0
18-Apr-20,3.0,7,0.0,0,0.0,0
19-Apr-20,0.0,7,0.0,0,0.0,0
20-Apr-20,0.0,7,0.0,0,0.0,0
21-Apr-20,2.0,9,0.0,0,0.0,0
22-Apr-20,4.0,13,0.0,0,2.0,2
23-Apr-20,0.0,13,0.0,0,0.0,2
24-Apr-20,0.0,13,0.0,0,2.0,4
25-Apr-20,6.0,19,0.0,0,0.0,4
26-Apr-20,1.0,20,0.0,0,0.0,4
27-Apr-20,2.0,22,0.0,0,0.0,4
28-Apr-20,2.0,24,0.0,0,0.0,4
29-Apr-20,1.0,25,0.0,0,0.0,4
30-Apr-20,0.0,25,0.0,0,0.0,4
01-May-20,1.0,26,0.0,0,0.0,4
02-May-20,0.0,26,0.0,0,0.0,4
03-May-20,18.0,44,0.0,0,2.0,6
04-May-20,29.0,73,0.0,0,0.0,6
05-May-20,5.0,78,0.0,0,0.0,6
06-May-20,3.0,81,0.0,0,0.0,6
07-May-20,3.0,84,0.0,0,0.0,6
08-May-20,2.0,86,0.0,0,3.0,9
09-May-20,3.0,89,0.0,0,0.0,9
10-May-20,11.0,100,0.0,0,5.0,14
11-May-20,5.0,105,0.0,0,10.0,24
12-May-20,15.0,120,0.0,0,0.0,24
13-May-20,0.0,120,0.0,0,30.0,54
14-May-20,0.0,120,0.0,0,10.0,64
15-May-20,12.0,132,1.0,1,5.0,69
