Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,0,0,0,0,0,0
25-Mar-20,4,4,0,0,0,0
26-Mar-20,5,9,0,0,0,0
27-Mar-20,5,14,1,1,0,0
28-Mar-20,6,20,0,1,0,0
29-Mar-20,0,20,0,1,0,0
30-Mar-20,7,27,0,1,0,0
31-Mar-20,18,45,0,1,0,0
01-Apr-20,32,77,0,1,0,0
02-Apr-20,2,79,0,1,0,0
03-Apr-20,35,114,0,1,0,0
04-Apr-20,14,128,0,1,0,0
05-Apr-20,7,135,0,1,0,0
06-Apr-20,16,151,0,1,0,0
07-Apr-20,0,151,0,1,0,0
08-Apr-20,22,173,0,1,0,0
09-Apr-20,48,221,0,1,0,0
10-Apr-20,14,235,0,1,0,0
11-Apr-20,46,281,0,1,0,0
12-Apr-20,30,311,0,1,0,0
13-Apr-20,17,328,0,1,0,0
14-Apr-20,83,411,0,1,0,0
15-Apr-20,133,544,0,1,0,0
16-Apr-20,163,707,0,1,0,0
17-Apr-20,134,841,0,1,0,0
18-Apr-20,0,841,0,1,0,0
19-Apr-20,0,841,0,1,0,0
