Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,2,2,0,0,0,0
15-Mar-20,0,2,0,0,0,0
16-Mar-20,1,3,0,0,0,0
17-Mar-20,0,3,0,0,0,0
18-Mar-20,1,4,0,0,0,0
19-Mar-20,0,4,0,0,0,0
20-Mar-20,0,4,0,0,0,0
21-Mar-20,0,4,0,0,0,0
22-Mar-20,0,4,0,0,0,0
23-Mar-20,0,4,0,0,0,0
24-Mar-20,2,6,0,0,0,0
25-Mar-20,5,11,0,0,1,1
26-Mar-20,3,14,1,1,0,1
27-Mar-20,6,20,0,1,0,1
28-Mar-20,13,33,0,1,0,1
29-Mar-20,5,38,0,1,0,1
30-Mar-20,11,49,0,1,0,1
31-Mar-20,6,55,1,2,0,1
01-Apr-20,7,62,0,2,1,2
02-Apr-20,8,70,0,2,1,3
03-Apr-20,5,75,0,2,0,3
04-Apr-20,17,92,0,2,0,3
05-Apr-20,14,106,0,2,1,4
06-Apr-20,3,109,0,2,0,4
07-Apr-20,16,125,1,3,0,4
08-Apr-20,33,158,0,3,2,6
09-Apr-20,26,184,1,4,0,6
10-Apr-20,23,207,0,4,0,6
11-Apr-20,17,224,0,4,0,6
12-Apr-20,21,245,0,4,0,6
13-Apr-20,25,270,0,4,10,16
14-Apr-20,8,278,0,4,14,30
15-Apr-20,22,300,0,4,6,36
16-Apr-20,14,314,0,4,2,38
17-Apr-20,14,328,1,5,4,42
18-Apr-20,13,341,0,5,9,51
19-Apr-20,13,354,0,5,5,56
20-Apr-20,14,368,0,5,15,71
21-Apr-20,12,380,0,5,10,81
22-Apr-20,27,407,0,5,11,92
23-Apr-20,27,434,0,5,0,92
24-Apr-20,20,454,0,5,17,109
25-Apr-20,40,494,1,6,3,112
26-Apr-20,29,523,0,6,25,137
27-Apr-20,23,546,1,7,27,164
28-Apr-20,19,565,1,8,12,176
29-Apr-20,16,581,0,8,16,192
30-Apr-20,33,614,0,8,24,216
01-May-20,25,639,0,8,31,247
02-May-20,27,666,0,8,7,254
03-May-20,35,701,0,8,33,287
04-May-20,25,726,0,8,16,303
05-May-20,15,741,0,8,17,320
06-May-20,34,775,0,8,2,322
07-May-20,18,793,1,9,13,335
08-May-20,30,823,0,9,29,364
09-May-20,13,836,0,9,4,368
10-May-20,25,861,0,9,15,383
11-May-20,18,879,1,10,44,427
12-May-20,55,934,0,10,28,455
13-May-20,37,971,1,11,11,466
14-May-20,12,983,0,11,19,485
15-May-20,30,1013,0,11,28,513
16-May-20,108,1121,1,12,29,542
17-May-20,62,1183,1,13,33,575
18-May-20,106,1289,2,15,34,609
19-May-20,28,1317,2,17,38,647
20-May-20,73,1390,1,18,31,678
21-May-20,59,1449,2,20,6,684
22-May-20,40,1489,0,20,36,720
23-May-20,80,1569,1,21,54,774
24-May-20,52,1621,0,21,35,809
25-May-20,47,1668,2,23,0,809
26-May-20,91,1759,1,24,24,833
27-May-20,162,1921,2,26,21,854
28-May-20,115,2036,1,27,5,859
29-May-20,128,2164,1,28,16,875
30-May-20,177,2341,0,28,33,908
31-May-20,105,2446,0,28,19,927
01-Jun-20,155,2601,3,31,19,946
02-Jun-20,117,2718,2,33,7,953
03-Jun-20,139,2857,1,34,54,1007
04-Jun-20,285,3142,1,35,41,1048
05-Jun-20,182,3324,1,36,38,1086
06-Jun-20,143,3467,3,39,40,1126
07-Jun-20,620,4087,2,41,90,1216
