Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,0.0,0,0.0,0,0.0,0
29-Mar-20,1.0,1,0.0,0,0.0,0
30-Mar-20,0.0,1,0.0,0,0.0,0
31-Mar-20,0.0,1,0.0,0,0.0,0
01-Apr-20,0.0,1,0.0,0,0.0,0
02-Apr-20,0.0,1,0.0,0,0.0,0
03-Apr-20,0.0,1,0.0,0,0.0,0
04-Apr-20,5.0,6,0.0,0,0.0,0
05-Apr-20,14.0,20,0.0,0,0.0,0
06-Apr-20,3.0,23,0.0,0,0.0,0
07-Apr-20,1.0,24,0.0,0,0.0,0
08-Apr-20,5.0,29,0.0,0,0.0,0
09-Apr-20,0.0,29,0.0,0,0.0,0
10-Apr-20,0.0,29,0.0,0,0.0,0
11-Apr-20,4.0,33,0.0,0,0.0,0
12-Apr-20,4.0,37,0.0,0,0.0,0
13-Apr-20,3.0,40,0.0,0,0.0,0
14-Apr-20,0.0,40,0.0,0,0.0,0
15-Apr-20,2.0,42,0.0,0,0.0,0
16-Apr-20,0.0,42,0.0,0,0.0,0
17-Apr-20,0.0,42,0.0,0,0.0,0
18-Apr-20,0.0,42,0.0,0,0.0,0
19-Apr-20,2.0,44,0.0,0,0.0,0
20-Apr-20,0.0,44,0.0,0,0.0,0
21-Apr-20,1.0,45,0.0,0,0.0,0
22-Apr-20,2.0,47,0.0,0,0.0,0
23-Apr-20,3.0,50,0.0,0,0.0,0
24-Apr-20,2.0,52,2.0,2,12.0,12
25-Apr-20,3.0,55,0.0,2,0.0,12
26-Apr-20,7.0,62,1.0,3,5.0,17
27-Apr-20,5.0,67,0.0,3,4.0,21
28-Apr-20,5.0,72,0.0,3,0.0,21
29-Apr-20,1.0,73,0.0,3,0.0,21
30-Apr-20,11.0,84,0.0,3,0.0,21
01-May-20,1.0,85,0.0,3,5.0,26
02-May-20,3.0,88,0.0,3,0.0,26
03-May-20,3.0,91,0.0,3,8.0,34
04-May-20,12.0,103,0.0,3,5.0,39
05-May-20,1.0,104,0.0,3,3.0,42
06-May-20,0.0,104,0.0,3,0.0,42
07-May-20,1.0,105,0.0,3,0.0,42
08-May-20,1.0,106,0.0,3,0.0,42
09-May-20,0.0,106,0.0,3,3.0,45
10-May-20,2.0,108,0.0,3,0.0,45
11-May-20,1.0,109,0.0,3,0.0,45
12-May-20,0.0,109,0.0,3,12.0,57
13-May-20,1.0,110,0.0,3,0.0,57
14-May-20,0.0,110,0.0,3,0.0,57
15-May-20,6.0,116,0.0,3,10.0,67
