Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,0.0,0,0.0,0,0.0,0
29-Mar-20,0.0,0,0.0,0,0.0,0
30-Mar-20,0.0,0,0.0,0,0.0,0
31-Mar-20,0.0,0,0.0,0,0.0,0
01-Apr-20,0.0,0,0.0,0,0.0,0
02-Apr-20,0.0,0,0.0,0,0.0,0
03-Apr-20,0.0,0,0.0,0,0.0,0
04-Apr-20,0.0,0,0.0,0,0.0,0
05-Apr-20,0.0,0,0.0,0,0.0,0
06-Apr-20,0.0,0,0.0,0,0.0,0
07-Apr-20,0.0,0,0.0,0,0.0,0
08-Apr-20,0.0,0,0.0,0,0.0,0
09-Apr-20,15.0,15,0.0,0,0.0,0
10-Apr-20,0.0,15,0.0,0,0.0,0
11-Apr-20,0.0,15,0.0,0,0.0,0
12-Apr-20,8.0,23,0.0,0,0.0,0
13-Apr-20,0.0,23,0.0,0,0.0,0
14-Apr-20,0.0,23,0.0,0,0.0,0
15-Apr-20,2.0,25,0.0,0,0.0,0
16-Apr-20,0.0,25,0.0,0,0.0,0
17-Apr-20,2.0,27,0.0,0,0.0,0
18-Apr-20,0.0,27,0.0,0,0.0,0
19-Apr-20,4.0,31,0.0,0,0.0,0
20-Apr-20,0.0,31,0.0,0,0.0,0
21-Apr-20,2.0,33,0.0,0,0.0,0
22-Apr-20,4.0,37,0.0,0,0.0,0
23-Apr-20,4.0,41,0.0,0,0.0,0
24-Apr-20,4.0,45,0.0,0,6.0,6
25-Apr-20,1.0,46,0.0,0,0.0,6
26-Apr-20,1.0,47,0.0,0,2.0,8
27-Apr-20,1.0,48,0.0,0,1.0,9
28-Apr-20,1.0,49,0.0,0,0.0,9
29-Apr-20,0.0,49,0.0,0,10.0,19
30-Apr-20,0.0,49,0.0,0,0.0,19
01-May-20,6.0,55,0.0,0,0.0,19
02-May-20,0.0,55,0.0,0,2.0,21
03-May-20,11.0,66,0.0,0,2.0,23
04-May-20,0.0,66,0.0,0,0.0,23
05-May-20,0.0,66,0.0,0,7.0,30
06-May-20,3.0,69,0.0,0,1.0,31
07-May-20,0.0,69,0.0,0,0.0,31
08-May-20,0.0,69,0.0,0,2.0,33
09-May-20,2.0,71,0.0,0,0.0,33
10-May-20,2.0,73,0.0,0,9.0,42
11-May-20,0.0,73,0.0,0,1.0,43
12-May-20,10.0,83,0.0,0,2.0,45
13-May-20,0.0,83,0.0,0,0.0,45
14-May-20,0.0,83,0.0,0,0.0,45
15-May-20,2.0,85,0.0,0,3.0,48
