Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,0.0,0,0.0,0,0.0,0
29-Mar-20,0.0,0,0.0,0,0.0,0
30-Mar-20,2.0,2,0.0,0,0.0,0
31-Mar-20,0.0,2,0.0,0,0.0,0
01-Apr-20,0.0,2,0.0,0,0.0,0
02-Apr-20,0.0,2,0.0,0,0.0,0
03-Apr-20,0.0,2,0.0,0,0.0,0
04-Apr-20,0.0,2,0.0,0,0.0,0
05-Apr-20,0.0,2,0.0,0,0.0,0
06-Apr-20,0.0,2,0.0,0,0.0,0
07-Apr-20,0.0,2,0.0,0,0.0,0
08-Apr-20,2.0,4,0.0,0,0.0,0
09-Apr-20,10.0,14,0.0,0,0.0,0
10-Apr-20,0.0,14,0.0,0,0.0,0
11-Apr-20,0.0,14,0.0,0,0.0,0
12-Apr-20,0.0,14,0.0,0,0.0,0
13-Apr-20,0.0,14,0.0,0,0.0,0
14-Apr-20,0.0,14,0.0,0,0.0,0
15-Apr-20,0.0,14,0.0,0,0.0,0
16-Apr-20,0.0,14,0.0,0,0.0,0
17-Apr-20,3.0,17,0.0,0,0.0,0
18-Apr-20,5.0,22,0.0,0,0.0,0
19-Apr-20,0.0,22,0.0,0,0.0,0
20-Apr-20,0.0,22,0.0,0,0.0,0
21-Apr-20,10.0,32,0.0,0,0.0,0
22-Apr-20,14.0,46,0.0,0,4.0,4
23-Apr-20,9.0,55,0.0,0,0.0,4
24-Apr-20,5.0,60,0.0,0,7.0,11
25-Apr-20,3.0,63,0.0,0,0.0,11
26-Apr-20,0.0,63,0.0,0,0.0,11
27-Apr-20,5.0,68,0.0,0,2.0,13
28-Apr-20,3.0,71,0.0,0,0.0,13
29-Apr-20,0.0,71,0.0,0,0.0,13
30-Apr-20,1.0,72,0.0,0,0.0,13
01-May-20,2.0,74,0.0,0,4.0,17
02-May-20,3.0,77,0.0,0,2.0,19
03-May-20,4.0,81,0.0,0,0.0,19
04-May-20,2.0,83,0.0,0,0.0,19
05-May-20,6.0,89,0.0,0,6.0,25
06-May-20,5.0,94,0.0,0,0.0,25
07-May-20,4.0,98,0.0,0,9.0,34
08-May-20,0.0,98,0.0,0,13.0,47
09-May-20,2.0,100,0.0,0,0.0,47
10-May-20,3.0,103,0.0,0,4.0,51
11-May-20,0.0,103,0.0,0,0.0,51
12-May-20,1.0,104,0.0,0,9.0,60
13-May-20,1.0,105,0.0,0,0.0,60
14-May-20,2.0,107,0.0,0,0.0,60
15-May-20,0.0,107,0.0,0,3.0,63
