Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,1.0,1,0.0,0,0.0,0
19-Mar-20,0.0,1,0.0,0,0.0,0
20-Mar-20,0.0,1,0.0,0,0.0,0
21-Mar-20,0.0,1,0.0,0,0.0,0
22-Mar-20,0.0,1,0.0,0,0.0,0
23-Mar-20,0.0,1,0.0,0,0.0,0
24-Mar-20,1.0,2,0.0,0,0.0,0
25-Mar-20,1.0,3,0.0,0,0.0,0
26-Mar-20,2.0,5,0.0,0,0.0,0
27-Mar-20,4.0,9,0.0,0,0.0,0
28-Mar-20,6.0,15,0.0,0,0.0,0
29-Mar-20,2.0,17,0.0,0,0.0,0
30-Mar-20,3.0,20,0.0,0,0.0,0
31-Mar-20,6.0,26,0.0,0,0.0,0
01-Apr-20,0.0,26,0.0,0,0.0,0
02-Apr-20,0.0,26,0.0,0,0.0,0
03-Apr-20,0.0,26,0.0,0,0.0,0
04-Apr-20,0.0,26,0.0,0,0.0,0
05-Apr-20,0.0,26,0.0,0,0.0,0
06-Apr-20,0.0,26,0.0,0,0.0,0
07-Apr-20,9.0,35,0.0,0,0.0,0
08-Apr-20,11.0,46,0.0,0,0.0,0
09-Apr-20,0.0,46,0.0,0,0.0,0
10-Apr-20,0.0,46,0.0,0,0.0,0
11-Apr-20,9.0,55,0.0,0,0.0,0
12-Apr-20,2.0,57,0.0,0,0.0,0
13-Apr-20,12.0,69,0.0,0,0.0,0
14-Apr-20,4.0,73,0.0,0,0.0,0
15-Apr-20,3.0,76,0.0,0,0.0,0
16-Apr-20,2.0,78,0.0,0,0.0,0
17-Apr-20,0.0,78,0.0,0,0.0,0
18-Apr-20,0.0,78,0.0,0,0.0,0
19-Apr-20,1.0,79,0.0,0,0.0,0
20-Apr-20,0.0,79,0.0,0,0.0,0
21-Apr-20,0.0,79,0.0,0,0.0,0
22-Apr-20,0.0,79,0.0,0,3.0,3
23-Apr-20,0.0,79,0.0,0,0.0,3
24-Apr-20,0.0,79,1.0,1,24.0,27
25-Apr-20,4.0,83,0.0,1,1.0,28
26-Apr-20,2.0,85,0.0,1,9.0,37
27-Apr-20,1.0,86,0.0,1,13.0,50
28-Apr-20,0.0,86,1.0,2,0.0,50
29-Apr-20,1.0,87,0.0,2,1.0,51
30-Apr-20,2.0,89,0.0,2,17.0,68
01-May-20,2.0,91,0.0,2,1.0,69
02-May-20,15.0,106,0.0,2,0.0,69
03-May-20,0.0,106,0.0,2,1.0,70
04-May-20,3.0,109,0.0,2,5.0,75
05-May-20,4.0,113,0.0,2,0.0,75
06-May-20,11.0,124,0.0,2,1.0,76
07-May-20,2.0,126,1.0,3,0.0,76
08-May-20,3.0,129,0.0,3,0.0,76
09-May-20,2.0,131,0.0,3,0.0,76
10-May-20,5.0,136,0.0,3,0.0,76
11-May-20,0.0,136,1.0,4,0.0,76
12-May-20,0.0,136,0.0,4,5.0,81
13-May-20,0.0,136,0.0,4,3.0,84
14-May-20,5.0,141,0.0,4,0.0,84
15-May-20,11.0,152,0.0,4,0.0,84
