Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,0,0,0,0,0,0
25-Mar-20,0,0,0,0,0,0
26-Mar-20,0,0,0,0,0,0
27-Mar-20,0,0,0,0,0,0
28-Mar-20,0,0,0,0,0,0
29-Mar-20,0,0,0,0,0,0
30-Mar-20,0,0,0,0,0,0
31-Mar-20,1,1,0,0,0,0
01-Apr-20,0,1,0,0,0,0
02-Apr-20,1,2,0,0,0,0
03-Apr-20,0,2,0,0,0,0
04-Apr-20,0,2,0,0,0,0
05-Apr-20,1,3,0,0,0,0
06-Apr-20,1,4,0,0,0,0
07-Apr-20,0,4,0,0,0,0
08-Apr-20,0,4,0,0,0,0
09-Apr-20,9,13,1,1,0,0
10-Apr-20,1,14,0,1,0,0
11-Apr-20,3,17,0,1,0,0
12-Apr-20,2,19,1,2,0,0
13-Apr-20,5,24,0,2,0,0
14-Apr-20,3,27,0,2,0,0
15-Apr-20,1,28,0,2,0,0
16-Apr-20,1,29,0,2,0,0
17-Apr-20,3,32,0,2,0,0
18-Apr-20,1,33,0,2,0,0
19-Apr-20,8,41,0,2,0,0
20-Apr-20,5,46,0,2,4,4
21-Apr-20,0,46,0,2,0,4
22-Apr-20,0,46,0,2,0,4
23-Apr-20,7,53,1,3,4,8
24-Apr-20,6,59,0,3,0,8
25-Apr-20,8,67,0,3,0,8
26-Apr-20,15,82,0,3,5,13
27-Apr-20,21,103,0,3,4,17
28-Apr-20,2,105,0,3,2,19
29-Apr-20,2,107,0,3,0,19
30-Apr-20,3,110,0,3,0,19
01-May-20,3,113,0,3,2,21
02-May-20,2,115,0,3,1,22
03-May-20,0,115,0,3,5,27
04-May-20,0,115,0,3,0,27
05-May-20,10,125,0,3,6,33
06-May-20,2,127,0,3,4,37
07-May-20,5,132,0,3,4,41
08-May-20,22,154,0,3,0,41
09-May-20,2,156,0,3,37,78
10-May-20,1,157,0,3,0,78
11-May-20,4,161,0,3,0,78
12-May-20,11,172,0,3,1,79
13-May-20,5,177,0,3,8,87
14-May-20,26,203,0,3,0,87
15-May-20,8,211,0,3,10,97
