Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,0.0,0,0.0,0,0.0,0
29-Mar-20,0.0,0,0.0,0,0.0,0
30-Mar-20,0.0,0,0.0,0,0.0,0
31-Mar-20,1.0,1,0.0,0,0.0,0
01-Apr-20,0.0,1,0.0,0,0.0,0
02-Apr-20,0.0,1,0.0,0,0.0,0
03-Apr-20,0.0,1,0.0,0,0.0,0
04-Apr-20,0.0,1,0.0,0,0.0,0
05-Apr-20,0.0,1,0.0,0,0.0,0
06-Apr-20,1.0,2,0.0,0,0.0,0
07-Apr-20,0.0,2,0.0,0,0.0,0
08-Apr-20,0.0,2,0.0,0,0.0,0
09-Apr-20,5.0,7,0.0,0,0.0,0
10-Apr-20,0.0,7,0.0,0,0.0,0
11-Apr-20,1.0,8,0.0,0,0.0,0
12-Apr-20,0.0,8,0.0,0,0.0,0
13-Apr-20,3.0,11,0.0,0,0.0,0
14-Apr-20,2.0,13,0.0,0,0.0,0
15-Apr-20,1.0,14,0.0,0,0.0,0
16-Apr-20,0.0,14,0.0,0,0.0,0
17-Apr-20,3.0,17,0.0,0,0.0,0
18-Apr-20,1.0,18,0.0,0,0.0,0
19-Apr-20,6.0,24,0.0,0,0.0,0
20-Apr-20,0.0,24,0.0,0,0.0,0
21-Apr-20,1.0,25,0.0,0,0.0,0
22-Apr-20,0.0,25,0.0,0,0.0,0
23-Apr-20,4.0,29,0.0,0,0.0,0
24-Apr-20,0.0,29,0.0,0,0.0,0
25-Apr-20,1.0,30,0.0,0,0.0,0
26-Apr-20,25.0,55,2.0,2,6.0,6
27-Apr-20,20.0,75,0.0,2,4.0,10
28-Apr-20,2.0,77,0.0,2,0.0,10
29-Apr-20,1.0,78,0.0,2,0.0,10
30-Apr-20,3.0,81,0.0,2,0.0,10
01-May-20,2.0,83,0.0,2,0.0,10
02-May-20,0.0,83,0.0,2,0.0,10
03-May-20,0.0,83,0.0,2,3.0,13
04-May-20,0.0,83,0.0,2,0.0,13
05-May-20,8.0,91,0.0,2,5.0,18
06-May-20,2.0,93,0.0,2,0.0,18
07-May-20,0.0,93,0.0,2,0.0,18
08-May-20,0.0,93,0.0,2,0.0,18
09-May-20,0.0,93,0.0,2,35.0,53
10-May-20,0.0,93,0.0,2,0.0,53
11-May-20,1.0,94,0.0,2,0.0,53
12-May-20,1.0,95,0.0,2,1.0,54
13-May-20,1.0,96,0.0,2,7.0,61
14-May-20,6.0,102,0.0,2,0.0,61
15-May-20,0.0,102,0.0,2,10.0,71
