Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,1,2,0,0,0,1
15-Mar-20,0,2,0,0,0,1
16-Mar-20,0,2,0,0,0,1
17-Mar-20,0,2,0,0,0,1
18-Mar-20,0,2,0,0,0,1
19-Mar-20,2,4,0,0,0,1
20-Mar-20,2,6,0,0,0,1
21-Mar-20,0,6,0,0,0,1
22-Mar-20,0,6,0,0,0,1
23-Mar-20,0,6,0,0,0,1
24-Mar-20,0,6,0,0,0,1
25-Mar-20,0,6,0,0,0,1
26-Mar-20,1,7,0,0,0,1
27-Mar-20,1,8,0,0,0,1
28-Mar-20,0,8,0,0,0,1
29-Mar-20,0,8,0,0,0,1
30-Mar-20,10,18,0,0,0,1
31-Mar-20,1,19,0,0,0,1
01-Apr-20,13,32,0,0,0,1
02-Apr-20,7,39,0,0,0,1
03-Apr-20,14,53,0,0,0,1
04-Apr-20,0,53,0,0,0,1
05-Apr-20,39,92,0,0,0,1
06-Apr-20,8,100,0,0,0,1
07-Apr-20,6,106,0,0,0,1
08-Apr-20,23,129,0,0,0,1
09-Apr-20,39,168,0,0,0,1
10-Apr-20,53,221,0,0,0,1
11-Apr-20,80,301,0,0,0,1
12-Apr-20,40,341,0,0,0,1
13-Apr-20,29,370,0,0,0,1
14-Apr-20,83,453,0,0,0,1
15-Apr-20,30,483,0,0,0,1
16-Apr-20,3,486,0,0,0,1
17-Apr-20,8,494,0,0,0,1
18-Apr-20,25,519,0,0,0,1
19-Apr-20,16,535,0,0,0,1
