Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,0,0,0,0,0,0
25-Mar-20,0,0,0,0,0,0
26-Mar-20,0,0,0,0,0,0
27-Mar-20,0,0,0,0,0,0
28-Mar-20,0,0,0,0,0,0
29-Mar-20,0,0,0,0,0,0
30-Mar-20,0,0,0,0,0,0
31-Mar-20,0,0,0,0,0,0
01-Apr-20,0,0,0,0,0,0
02-Apr-20,0,0,0,0,0,0
03-Apr-20,3,3,0,0,0,0
04-Apr-20,0,3,0,0,0,0
05-Apr-20,4,7,0,0,0,0
06-Apr-20,0,7,0,0,0,0
07-Apr-20,0,7,0,0,0,0
08-Apr-20,0,7,0,0,0,0
09-Apr-20,3,10,0,0,0,0
10-Apr-20,0,10,0,0,0,0
11-Apr-20,0,10,0,0,0,0
12-Apr-20,4,14,0,0,0,0
13-Apr-20,3,17,0,0,0,0
14-Apr-20,1,18,0,0,0,0
15-Apr-20,1,19,1,1,0,0
16-Apr-20,17,36,0,1,0,0
17-Apr-20,5,41,0,1,0,0
18-Apr-20,1,42,0,1,0,0
19-Apr-20,0,42,0,1,0,0
20-Apr-20,0,42,0,1,0,0
21-Apr-20,1,43,0,1,0,0
22-Apr-20,0,43,0,1,0,0
23-Apr-20,0,43,0,1,0,0
24-Apr-20,2,45,0,1,3,3
25-Apr-20,9,54,0,1,0,3
26-Apr-20,0,54,0,1,3,6
27-Apr-20,0,54,0,1,0,6
28-Apr-20,0,54,0,1,0,6
29-Apr-20,1,55,0,1,1,7
30-Apr-20,14,69,0,1,0,7
01-May-20,2,71,0,1,0,7
02-May-20,0,71,0,1,8,15
03-May-20,0,71,0,1,0,15
04-May-20,0,71,0,1,11,26
05-May-20,0,71,0,1,0,26
06-May-20,0,71,0,1,8,34
07-May-20,1,72,0,1,0,34
08-May-20,11,83,0,1,0,34
09-May-20,0,83,0,1,0,34
10-May-20,30,113,0,1,2,36
11-May-20,0,113,0,1,0,36
12-May-20,0,113,0,1,0,36
13-May-20,0,113,0,1,5,41
14-May-20,1,114,0,1,0,41
15-May-20,0,114,0,1,13,54
