Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,1,0.0,1,0.0,0
15-Mar-20,0.0,1,0.0,1,0.0,0
16-Mar-20,1.0,2,0.0,1,0.0,0
17-Mar-20,1.0,3,0.0,1,0.0,0
18-Mar-20,0.0,3,0.0,1,0.0,0
19-Mar-20,0.0,3,0.0,1,0.0,0
20-Mar-20,0.0,3,0.0,1,0.0,0
21-Mar-20,0.0,3,0.0,1,0.0,0
22-Mar-20,0.0,3,0.0,1,0.0,0
23-Mar-20,0.0,3,0.0,1,0.0,0
24-Mar-20,0.0,3,0.0,1,0.0,0
25-Mar-20,0.0,3,0.0,1,0.0,0
26-Mar-20,0.0,3,0.0,1,0.0,0
27-Mar-20,0.0,3,0.0,1,0.0,0
28-Mar-20,0.0,3,0.0,1,0.0,0
29-Mar-20,0.0,3,0.0,1,0.0,0
30-Mar-20,0.0,3,0.0,1,0.0,0
31-Mar-20,1.0,4,0.0,1,1.0,1
01-Apr-20,0.0,4,0.0,1,0.0,1
02-Apr-20,1.0,5,0.0,1,1.0,2
03-Apr-20,0.0,5,0.0,1,0.0,2
04-Apr-20,0.0,5,0.0,1,0.0,2
05-Apr-20,0.0,5,0.0,1,0.0,2
06-Apr-20,0.0,5,0.0,1,0.0,2
07-Apr-20,2.0,7,0.0,1,0.0,2
08-Apr-20,2.0,9,1.0,2,0.0,2
09-Apr-20,0.0,9,0.0,2,0.0,2
10-Apr-20,1.0,10,0.0,2,0.0,2
11-Apr-20,0.0,10,0.0,2,0.0,2
12-Apr-20,3.0,13,0.0,2,0.0,2
13-Apr-20,0.0,13,1.0,3,0.0,2
14-Apr-20,3.0,16,0.0,3,0.0,2
15-Apr-20,1.0,17,0.0,3,0.0,2
16-Apr-20,3.0,20,0.0,3,0.0,2
17-Apr-20,0.0,20,0.0,3,0.0,2
18-Apr-20,2.0,22,0.0,3,0.0,2
19-Apr-20,0.0,22,0.0,3,0.0,2
20-Apr-20,0.0,22,0.0,3,0.0,2
21-Apr-20,8.0,30,-3.0,0,-2.0,0
22-Apr-20,5.0,35,0.0,0,0.0,0
23-Apr-20,0.0,35,0.0,0,0.0,0
24-Apr-20,1.0,36,4.0,4,6.0,6
25-Apr-20,0.0,36,0.0,4,0.0,6
26-Apr-20,2.0,38,0.0,4,1.0,7
27-Apr-20,0.0,38,1.0,5,0.0,7
28-Apr-20,6.0,44,0.0,5,0.0,7
29-Apr-20,8.0,52,0.0,5,0.0,7
30-Apr-20,1.0,53,0.0,5,0.0,7
01-May-20,2.0,55,0.0,5,4.0,11
02-May-20,0.0,55,0.0,5,7.0,18
03-May-20,6.0,61,0.0,5,0.0,18
04-May-20,2.0,63,1.0,6,3.0,21
05-May-20,0.0,63,0.0,6,1.0,22
06-May-20,1.0,64,0.0,6,5.0,27
07-May-20,3.0,67,0.0,6,2.0,29
08-May-20,0.0,67,0.0,6,0.0,29
09-May-20,0.0,67,0.0,6,2.0,31
10-May-20,4.0,71,0.0,6,13.0,44
11-May-20,1.0,72,0.0,6,0.0,44
12-May-20,1.0,73,0.0,6,0.0,44
13-May-20,8.0,81,1.0,7,0.0,44
14-May-20,2.0,83,0.0,7,2.0,46
15-May-20,3.0,86,0.0,7,0.0,46
