Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,1.0,1,0.0,0,0.0,0
22-Mar-20,0.0,1,0.0,0,0.0,0
23-Mar-20,1.0,2,0.0,0,0.0,0
24-Mar-20,0.0,2,0.0,0,0.0,0
25-Mar-20,0.0,2,0.0,0,0.0,0
26-Mar-20,1.0,3,0.0,0,1.0,1
27-Mar-20,0.0,3,0.0,0,0.0,1
28-Mar-20,0.0,3,0.0,0,0.0,1
29-Mar-20,5.0,8,0.0,0,0.0,1
30-Mar-20,4.0,12,0.0,0,0.0,1
31-Mar-20,2.0,14,0.0,0,0.0,1
01-Apr-20,5.0,19,0.0,0,0.0,1
02-Apr-20,2.0,21,0.0,0,0.0,1
03-Apr-20,0.0,21,0.0,0,0.0,1
04-Apr-20,7.0,28,0.0,0,0.0,1
05-Apr-20,0.0,28,0.0,0,0.0,1
06-Apr-20,7.0,35,0.0,0,0.0,1
07-Apr-20,0.0,35,0.0,0,1.0,2
08-Apr-20,0.0,35,0.0,0,0.0,2
09-Apr-20,2.0,37,0.0,0,0.0,2
10-Apr-20,5.0,42,0.0,0,0.0,2
11-Apr-20,5.0,47,0.0,0,0.0,2
12-Apr-20,1.0,48,0.0,0,7.0,9
13-Apr-20,0.0,48,0.0,0,1.0,10
14-Apr-20,0.0,48,0.0,0,0.0,10
15-Apr-20,10.0,58,0.0,0,0.0,10
16-Apr-20,3.0,61,0.0,0,0.0,10
17-Apr-20,12.0,73,0.0,0,0.0,10
18-Apr-20,7.0,80,0.0,0,0.0,10
19-Apr-20,4.0,84,0.0,0,0.0,10
20-Apr-20,0.0,84,0.0,0,0.0,10
21-Apr-20,2.0,86,0.0,0,-10.0,0
22-Apr-20,2.0,88,0.0,0,0.0,0
23-Apr-20,0.0,88,0.0,0,0.0,0
24-Apr-20,0.0,88,0.0,0,33.0,33
25-Apr-20,1.0,89,0.0,0,0.0,33
26-Apr-20,0.0,89,0.0,0,5.0,38
27-Apr-20,0.0,89,0.0,0,5.0,43
28-Apr-20,0.0,89,0.0,0,7.0,50
29-Apr-20,1.0,90,0.0,0,8.0,58
30-Apr-20,0.0,90,0.0,0,0.0,58
01-May-20,0.0,90,0.0,0,1.0,59
02-May-20,-2.0,88,0.0,0,5.0,64
03-May-20,0.0,88,0.0,0,11.0,75
04-May-20,0.0,88,0.0,0,2.0,77
05-May-20,0.0,88,0.0,0,3.0,80
06-May-20,0.0,88,0.0,0,0.0,80
07-May-20,0.0,88,0.0,0,1.0,81
08-May-20,0.0,88,0.0,0,0.0,81
09-May-20,0.0,88,0.0,0,2.0,83
10-May-20,0.0,88,0.0,0,1.0,84
11-May-20,0.0,88,0.0,0,0.0,84
12-May-20,0.0,88,0.0,0,0.0,84
13-May-20,0.0,88,0.0,0,0.0,84
14-May-20,0.0,88,0.0,0,2.0,86
15-May-20,0.0,88,0.0,0,2.0,88
