Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,1,1,0,0,0,0
23-Mar-20,0,1,0,0,0,0
24-Mar-20,2,3,0,0,0,0
25-Mar-20,0,3,0,0,0,0
26-Mar-20,0,3,0,0,0,0
27-Mar-20,1,4,0,0,0,0
28-Mar-20,4,8,0,0,0,0
29-Mar-20,0,8,0,0,0,0
30-Mar-20,0,8,0,0,0,0
31-Mar-20,1,9,0,0,0,0
01-Apr-20,0,9,0,0,0,0
02-Apr-20,0,9,0,0,0,0
03-Apr-20,0,9,0,0,0,0
04-Apr-20,0,9,0,0,0,0
05-Apr-20,0,9,0,0,0,0
06-Apr-20,0,9,0,0,1,1
07-Apr-20,0,9,0,0,0,1
08-Apr-20,1,10,0,0,0,1
09-Apr-20,0,10,0,0,0,1
10-Apr-20,0,10,0,0,0,1
11-Apr-20,0,10,0,0,2,3
12-Apr-20,0,10,0,0,1,4
13-Apr-20,0,10,0,0,0,4
14-Apr-20,1,11,0,0,0,4
15-Apr-20,0,11,0,0,0,4
16-Apr-20,0,11,0,0,0,4
17-Apr-20,0,11,0,0,0,4
18-Apr-20,0,11,0,0,0,4
19-Apr-20,0,11,0,0,0,4
20-Apr-20,0,11,0,0,0,4
21-Apr-20,0,11,0,0,0,4
22-Apr-20,0,11,0,0,0,4
23-Apr-20,0,11,0,0,0,4
24-Apr-20,0,11,0,0,6,10
25-Apr-20,0,11,0,0,0,10
26-Apr-20,0,11,0,0,0,10
27-Apr-20,0,11,0,0,0,10
28-Apr-20,0,11,0,0,0,10
29-Apr-20,0,11,0,0,0,10
30-Apr-20,0,11,0,0,0,10
01-May-20,0,11,0,0,1,11
02-May-20,0,11,0,0,0,11
03-May-20,0,11,0,0,0,11
04-May-20,0,11,0,0,0,11
05-May-20,1,12,0,0,0,11
06-May-20,0,12,0,0,0,11
07-May-20,0,12,0,0,0,11
08-May-20,12,24,0,0,0,11
09-May-20,8,32,0,0,0,11
10-May-20,7,39,0,0,0,11
11-May-20,0,39,0,0,0,11
12-May-20,0,39,0,0,0,11
13-May-20,2,41,0,0,0,11
14-May-20,0,41,0,0,0,11
15-May-20,0,41,0,0,0,11
