Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,22,0,0,0,4
15-Mar-20,2,24,0,0,0,4
16-Mar-20,3,27,0,0,0,4
17-Mar-20,0,27,0,0,0,4
18-Mar-20,0,27,0,0,0,4
19-Mar-20,1,28,0,0,0,4
20-Mar-20,12,40,0,0,0,4
21-Mar-20,12,52,0,0,0,4
22-Mar-20,15,67,0,0,0,4
23-Mar-20,28,95,0,0,1,5
24-Mar-20,14,109,0,0,2,7
25-Mar-20,9,118,0,0,0,7
26-Mar-20,19,137,0,0,3,10
27-Mar-20,39,176,0,0,1,11
28-Mar-20,6,182,1,1,6,17
29-Mar-20,20,202,0,1,5,22
30-Mar-20,32,234,0,1,0,22
31-Mar-20,7,241,1,2,5,27
01-Apr-20,24,265,0,2,0,27
02-Apr-20,21,286,0,2,2,29
03-Apr-20,9,295,0,2,14,43
04-Apr-20,11,306,0,2,6,49
05-Apr-20,8,314,0,2,4,53
06-Apr-20,13,327,0,2,0,53
07-Apr-20,8,335,0,2,2,55
08-Apr-20,9,344,0,2,3,58
09-Apr-20,12,356,0,2,0,58
10-Apr-20,7,363,0,2,0,58
11-Apr-20,10,373,0,2,0,58
12-Apr-20,2,375,0,2,0,58
13-Apr-20,3,378,0,2,0,58
14-Apr-20,8,386,0,2,0,58
15-Apr-20,1,387,0,2,0,58
16-Apr-20,7,394,0,2,0,58
17-Apr-20,1,395,0,2,0,58
18-Apr-20,4,399,0,2,0,58
