Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,2,0.0,0,0.0,0
15-Mar-20,0.0,2,0.0,0,0.0,0
16-Mar-20,0.0,2,0.0,0,0.0,0
17-Mar-20,0.0,2,0.0,0,0.0,0
18-Mar-20,0.0,2,0.0,0,0.0,0
19-Mar-20,0.0,2,0.0,0,0.0,0
20-Mar-20,6.0,8,0.0,0,0.0,0
21-Mar-20,3.0,11,0.0,0,0.0,0
22-Mar-20,2.0,13,0.0,0,0.0,0
23-Mar-20,2.0,15,0.0,0,0.0,0
24-Mar-20,1.0,16,0.0,0,0.0,0
25-Mar-20,3.0,19,0.0,0,0.0,0
26-Mar-20,0.0,19,0.0,0,2.0,2
27-Mar-20,0.0,19,0.0,0,0.0,2
28-Mar-20,0.0,19,1.0,1,2.0,4
29-Mar-20,1.0,20,0.0,1,0.0,4
30-Mar-20,0.0,20,0.0,1,0.0,4
31-Mar-20,0.0,20,0.0,1,0.0,4
01-Apr-20,3.0,23,0.0,1,0.0,4
02-Apr-20,0.0,23,0.0,1,0.0,4
03-Apr-20,0.0,23,0.0,1,0.0,4
04-Apr-20,1.0,24,0.0,1,0.0,4
05-Apr-20,0.0,24,0.0,1,0.0,4
06-Apr-20,0.0,24,0.0,1,0.0,4
07-Apr-20,0.0,24,0.0,1,2.0,6
08-Apr-20,0.0,24,0.0,1,0.0,6
09-Apr-20,0.0,24,0.0,1,0.0,6
10-Apr-20,0.0,24,0.0,1,0.0,6
11-Apr-20,0.0,24,0.0,1,0.0,6
12-Apr-20,0.0,24,0.0,1,0.0,6
13-Apr-20,0.0,24,0.0,1,0.0,6
14-Apr-20,0.0,24,0.0,1,0.0,6
15-Apr-20,0.0,24,0.0,1,0.0,6
16-Apr-20,0.0,24,0.0,1,0.0,6
17-Apr-20,0.0,24,0.0,1,0.0,6
18-Apr-20,0.0,24,0.0,1,0.0,6
19-Apr-20,0.0,24,0.0,1,0.0,6
20-Apr-20,0.0,24,0.0,1,0.0,6
21-Apr-20,0.0,24,0.0,1,14.0,20
22-Apr-20,0.0,24,0.0,1,0.0,20
23-Apr-20,0.0,24,0.0,1,0.0,20
24-Apr-20,0.0,24,0.0,1,0.0,20
25-Apr-20,0.0,24,0.0,1,0.0,20
26-Apr-20,0.0,24,0.0,1,0.0,20
27-Apr-20,0.0,24,0.0,1,1.0,21
28-Apr-20,0.0,24,0.0,1,0.0,21
29-Apr-20,0.0,24,0.0,1,0.0,21
30-Apr-20,0.0,24,0.0,1,0.0,21
01-May-20,0.0,24,0.0,1,1.0,22
02-May-20,0.0,24,0.0,1,1.0,23
03-May-20,0.0,24,0.0,1,0.0,23
04-May-20,0.0,24,0.0,1,0.0,23
05-May-20,0.0,24,0.0,1,0.0,23
06-May-20,0.0,24,0.0,1,0.0,23
07-May-20,0.0,24,0.0,1,0.0,23
08-May-20,1.0,25,0.0,1,0.0,23
09-May-20,1.0,26,0.0,1,0.0,23
10-May-20,1.0,27,0.0,1,0.0,23
11-May-20,0.0,27,0.0,1,0.0,23
12-May-20,0.0,27,0.0,1,0.0,23
13-May-20,0.0,27,0.0,1,0.0,23
14-May-20,0.0,27,0.0,1,0.0,23
15-May-20,0.0,27,0.0,1,0.0,23
