Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,1,1,0,0,0,0
16-Mar-20,0,1,0,0,0,0
17-Mar-20,0,1,0,0,0,0
18-Mar-20,0,1,0,0,0,0
19-Mar-20,0,1,0,0,0,0
20-Mar-20,0,1,0,0,0,0
21-Mar-20,0,1,0,0,0,0
22-Mar-20,0,1,0,0,0,0
23-Mar-20,0,1,0,0,0,0
24-Mar-20,0,1,0,0,0,0
25-Mar-20,1,2,0,0,0,0
26-Mar-20,1,3,0,0,0,0
27-Mar-20,0,3,0,0,0,0
28-Mar-20,0,3,0,0,1,1
29-Mar-20,0,3,0,0,0,1
30-Mar-20,2,5,0,0,0,1
31-Mar-20,0,5,0,0,0,1
01-Apr-20,0,5,0,0,0,1
02-Apr-20,5,10,0,0,0,1
03-Apr-20,0,10,0,0,2,3
04-Apr-20,0,10,0,0,0,3
05-Apr-20,0,10,0,0,0,3
06-Apr-20,0,10,0,0,0,3
07-Apr-20,0,10,0,0,0,3
08-Apr-20,0,10,0,0,0,3
09-Apr-20,0,10,0,0,0,3
10-Apr-20,0,10,0,0,0,3
11-Apr-20,0,10,0,0,0,3
12-Apr-20,0,10,0,0,0,3
13-Apr-20,0,10,0,0,0,3
14-Apr-20,0,10,0,0,0,3
15-Apr-20,0,10,0,0,0,3
16-Apr-20,0,10,0,0,0,3
17-Apr-20,0,10,0,0,0,3
18-Apr-20,0,10,0,0,0,3
19-Apr-20,0,10,0,0,0,3
20-Apr-20,0,10,0,0,0,3
21-Apr-20,0,10,0,0,7,10
22-Apr-20,0,10,0,0,0,10
23-Apr-20,4,14,0,0,0,10
24-Apr-20,0,14,0,0,0,10
25-Apr-20,0,14,0,0,0,10
26-Apr-20,6,20,0,0,0,10
27-Apr-20,3,23,0,0,0,10
28-Apr-20,0,23,0,0,0,10
29-Apr-20,0,23,0,0,0,10
30-Apr-20,0,23,0,0,0,10
01-May-20,0,23,0,0,0,10
02-May-20,0,23,0,0,2,12
03-May-20,0,23,0,0,0,12
04-May-20,0,23,0,0,10,22
05-May-20,0,23,0,0,0,22
06-May-20,0,23,0,0,0,22
07-May-20,0,23,0,0,0,22
08-May-20,0,23,0,0,0,22
09-May-20,0,23,0,0,1,23
10-May-20,0,23,0,0,0,23
11-May-20,0,23,0,0,0,23
12-May-20,0,23,0,0,0,23
13-May-20,0,23,0,0,0,23
14-May-20,1,24,0,0,0,23
15-May-20,0,24,0,0,0,23
