Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,2,0,0,0,0
15-Mar-20,0,2,0,0,0,0
16-Mar-20,0,2,0,0,0,0
17-Mar-20,0,2,0,0,0,0
18-Mar-20,0,2,0,0,0,0
19-Mar-20,0,2,0,0,0,0
20-Mar-20,0,2,0,0,0,0
21-Mar-20,3,5,0,0,0,0
22-Mar-20,4,9,0,0,0,0
23-Mar-20,5,14,0,0,1,1
24-Mar-20,0,14,0,0,0,1
25-Mar-20,0,14,0,0,0,1
26-Mar-20,9,23,0,0,1,2
27-Mar-20,2,25,0,0,0,2
28-Mar-20,0,25,0,0,0,2
29-Mar-20,8,33,0,0,1,3
30-Mar-20,11,44,0,0,0,3
31-Mar-20,1,45,0,0,2,5
01-Apr-20,2,47,0,0,0,5
02-Apr-20,1,48,0,0,0,5
03-Apr-20,1,49,0,0,5,10
04-Apr-20,1,50,0,0,6,16
05-Apr-20,1,51,0,0,3,19
06-Apr-20,0,51,0,0,0,19
07-Apr-20,3,54,0,0,0,19
08-Apr-20,4,58,0,0,1,20
09-Apr-20,4,62,0,0,0,20
10-Apr-20,2,64,0,0,0,20
11-Apr-20,7,71,1,1,0,20
12-Apr-20,1,72,0,1,0,20
13-Apr-20,2,74,0,1,0,20
14-Apr-20,4,78,0,1,0,20
15-Apr-20,1,79,0,1,0,20
16-Apr-20,4,83,0,1,0,20
17-Apr-20,0,83,0,1,0,20
18-Apr-20,3,86,0,1,0,20
19-Apr-20,1,87,0,1,0,20
