Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,1,0.0,0,0.0,1
15-Mar-20,0.0,1,0.0,0,0.0,1
16-Mar-20,1.0,2,0.0,0,0.0,1
17-Mar-20,0.0,2,0.0,0,0.0,1
18-Mar-20,0.0,2,0.0,0,0.0,1
19-Mar-20,1.0,3,0.0,0,0.0,1
20-Mar-20,6.0,9,0.0,0,0.0,1
21-Mar-20,6.0,15,0.0,0,0.0,1
22-Mar-20,5.0,20,0.0,0,0.0,1
23-Mar-20,19.0,39,0.0,0,0.0,1
24-Mar-20,6.0,45,0.0,0,0.0,1
25-Mar-20,0.0,45,0.0,0,0.0,1
26-Mar-20,3.0,48,0.0,0,0.0,1
27-Mar-20,34.0,82,0.0,0,0.0,1
28-Mar-20,1.0,83,0.0,0,0.0,1
29-Mar-20,7.0,90,0.0,0,0.0,1
30-Mar-20,17.0,107,0.0,0,0.0,1
31-Mar-20,2.0,109,0.0,0,0.0,1
01-Apr-20,12.0,121,0.0,0,0.0,1
02-Apr-20,8.0,129,0.0,0,0.0,1
03-Apr-20,7.0,136,0.0,0,4.0,5
04-Apr-20,6.0,142,0.0,0,0.0,5
05-Apr-20,1.0,143,0.0,0,0.0,5
06-Apr-20,9.0,152,0.0,0,0.0,5
07-Apr-20,4.0,156,0.0,0,0.0,5
08-Apr-20,1.0,157,0.0,0,0.0,5
09-Apr-20,4.0,161,0.0,0,0.0,5
10-Apr-20,3.0,164,0.0,0,0.0,5
11-Apr-20,2.0,166,0.0,0,0.0,5
12-Apr-20,0.0,166,0.0,0,0.0,5
13-Apr-20,0.0,166,0.0,0,0.0,5
14-Apr-20,1.0,167,0.0,0,0.0,5
15-Apr-20,0.0,167,0.0,0,0.0,5
16-Apr-20,1.0,168,0.0,0,0.0,5
17-Apr-20,0.0,168,0.0,0,0.0,5
18-Apr-20,0.0,168,0.0,0,0.0,5
19-Apr-20,1.0,169,0.0,0,0.0,5
20-Apr-20,0.0,169,0.0,0,0.0,5
21-Apr-20,3.0,172,0.0,0,141.0,146
22-Apr-20,0.0,172,0.0,0,0.0,146
23-Apr-20,0.0,172,0.0,0,6.0,152
24-Apr-20,3.0,175,0.0,0,5.0,157
25-Apr-20,0.0,175,0.0,0,2.0,159
26-Apr-20,0.0,175,0.0,0,1.0,160
27-Apr-20,0.0,175,0.0,0,0.0,160
28-Apr-20,1.0,176,0.0,0,2.0,162
29-Apr-20,2.0,178,0.0,0,3.0,165
30-Apr-20,1.0,179,0.0,0,2.0,167
01-May-20,0.0,179,0.0,0,4.0,171
02-May-20,0.0,179,0.0,0,1.0,172
03-May-20,0.0,179,0.0,0,1.0,173
04-May-20,0.0,179,0.0,0,3.0,176
05-May-20,0.0,179,0.0,0,0.0,176
06-May-20,0.0,179,0.0,0,0.0,176
07-May-20,0.0,179,0.0,0,2.0,178
08-May-20,0.0,179,0.0,0,0.0,178
09-May-20,0.0,179,0.0,0,0.0,178
10-May-20,0.0,179,0.0,0,1.0,179
11-May-20,4.0,183,0.0,0,0.0,179
12-May-20,0.0,183,0.0,0,0.0,179
13-May-20,0.0,183,0.0,0,0.0,179
14-May-20,10.0,193,0.0,0,0.0,179
15-May-20,1.0,194,0.0,0,0.0,179
