Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,2,0.0,0,0.0,0
15-Mar-20,0.0,2,0.0,0,0.0,0
16-Mar-20,0.0,2,0.0,0,0.0,0
17-Mar-20,0.0,2,0.0,0,0.0,0
18-Mar-20,0.0,2,0.0,0,0.0,0
19-Mar-20,0.0,2,0.0,0,0.0,0
20-Mar-20,0.0,2,0.0,0,0.0,0
21-Mar-20,0.0,2,0.0,0,0.0,0
22-Mar-20,0.0,2,0.0,0,0.0,0
23-Mar-20,0.0,2,0.0,0,0.0,0
24-Mar-20,1.0,3,0.0,0,0.0,0
25-Mar-20,0.0,3,0.0,0,0.0,0
26-Mar-20,0.0,3,0.0,0,0.0,0
27-Mar-20,0.0,3,0.0,0,0.0,0
28-Mar-20,0.0,3,0.0,0,2.0,2
29-Mar-20,0.0,3,0.0,0,0.0,2
30-Mar-20,0.0,3,0.0,0,0.0,2
31-Mar-20,0.0,3,0.0,0,0.0,2
01-Apr-20,0.0,3,0.0,0,0.0,2
02-Apr-20,0.0,3,0.0,0,0.0,2
03-Apr-20,0.0,3,0.0,0,1.0,3
04-Apr-20,0.0,3,0.0,0,0.0,3
05-Apr-20,0.0,3,0.0,0,0.0,3
06-Apr-20,0.0,3,0.0,0,0.0,3
07-Apr-20,0.0,3,0.0,0,0.0,3
08-Apr-20,0.0,3,0.0,0,0.0,3
09-Apr-20,0.0,3,0.0,0,0.0,3
10-Apr-20,0.0,3,0.0,0,0.0,3
11-Apr-20,0.0,3,0.0,0,0.0,3
12-Apr-20,0.0,3,0.0,0,0.0,3
13-Apr-20,0.0,3,0.0,0,0.0,3
14-Apr-20,0.0,3,0.0,0,0.0,3
15-Apr-20,0.0,3,0.0,0,0.0,3
16-Apr-20,0.0,3,0.0,0,0.0,3
17-Apr-20,0.0,3,0.0,0,0.0,3
18-Apr-20,0.0,3,0.0,0,0.0,3
19-Apr-20,0.0,3,0.0,0,0.0,3
20-Apr-20,0.0,3,0.0,0,0.0,3
21-Apr-20,0.0,3,0.0,0,0.0,3
22-Apr-20,1.0,4,0.0,0,0.0,3
23-Apr-20,2.0,6,0.0,0,0.0,3
24-Apr-20,0.0,6,0.0,0,0.0,3
25-Apr-20,3.0,9,0.0,0,0.0,3
26-Apr-20,5.0,14,0.0,0,0.0,3
27-Apr-20,6.0,20,0.0,0,0.0,3
28-Apr-20,0.0,20,0.0,0,0.0,3
29-Apr-20,0.0,20,0.0,0,0.0,3
30-Apr-20,0.0,20,0.0,0,0.0,3
01-May-20,0.0,20,0.0,0,0.0,3
02-May-20,0.0,20,0.0,0,0.0,3
03-May-20,0.0,20,0.0,0,0.0,3
04-May-20,1.0,21,0.0,0,12.0,15
05-May-20,0.0,21,0.0,0,0.0,15
06-May-20,0.0,21,0.0,0,6.0,21
07-May-20,0.0,21,0.0,0,0.0,21
08-May-20,0.0,21,0.0,0,0.0,21
09-May-20,0.0,21,0.0,0,0.0,21
10-May-20,0.0,21,0.0,0,0.0,21
11-May-20,0.0,21,0.0,0,0.0,21
12-May-20,1.0,22,0.0,0,0.0,21
13-May-20,1.0,23,0.0,0,0.0,21
14-May-20,0.0,23,0.0,0,0.0,21
15-May-20,0.0,23,0.0,0,0.0,21
