Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,2,2,0,0,0,0
23-Mar-20,0,2,0,0,0,0
24-Mar-20,2,4,0,0,0,0
25-Mar-20,1,5,0,0,0,0
26-Mar-20,0,5,0,0,0,0
27-Mar-20,1,6,0,0,0,0
28-Mar-20,0,6,0,0,0,0
29-Mar-20,0,6,0,0,0,0
30-Mar-20,0,6,0,0,0,0
31-Mar-20,0,6,0,0,1,1
01-Apr-20,0,6,0,0,0,1
02-Apr-20,1,7,0,0,0,1
03-Apr-20,0,7,0,0,1,2
04-Apr-20,0,7,0,0,0,2
05-Apr-20,5,12,0,0,0,2
06-Apr-20,0,12,0,0,0,2
07-Apr-20,0,12,0,0,0,2
08-Apr-20,0,12,0,0,0,2
09-Apr-20,0,12,0,0,0,2
10-Apr-20,0,12,0,0,0,2
11-Apr-20,1,13,0,0,0,2
12-Apr-20,0,13,0,0,0,2
13-Apr-20,0,13,0,0,0,2
14-Apr-20,3,16,0,0,0,2
15-Apr-20,0,16,0,0,0,2
16-Apr-20,2,18,0,0,0,2
17-Apr-20,1,19,0,0,0,2
18-Apr-20,1,20,0,0,0,2
19-Apr-20,0,20,0,0,0,2
20-Apr-20,0,20,0,0,0,2
21-Apr-20,0,20,0,0,9,11
22-Apr-20,2,22,0,0,2,13
23-Apr-20,2,24,0,0,0,13
24-Apr-20,0,24,0,0,0,13
25-Apr-20,0,24,0,0,2,15
26-Apr-20,0,24,0,0,0,15
27-Apr-20,0,24,0,0,4,19
28-Apr-20,0,24,0,0,0,19
29-Apr-20,0,24,0,0,2,21
30-Apr-20,0,24,0,0,0,21
01-May-20,0,24,0,0,0,21
02-May-20,0,24,0,0,0,21
03-May-20,0,24,0,0,0,21
04-May-20,0,24,0,0,3,24
05-May-20,0,24,0,0,0,24
06-May-20,0,24,0,0,0,24
07-May-20,0,24,0,0,0,24
08-May-20,0,24,0,0,0,24
09-May-20,1,25,0,0,0,24
10-May-20,0,25,0,0,0,24
11-May-20,0,25,0,0,0,24
12-May-20,0,25,0,0,0,24
13-May-20,1,26,0,0,0,24
14-May-20,1,27,0,0,0,24
15-May-20,2,29,0,0,0,24
