Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,2.0,2,0.0,0,0.0,0
17-Mar-20,0.0,2,0.0,0,0.0,0
18-Mar-20,0.0,2,0.0,0,0.0,0
19-Mar-20,0.0,2,0.0,0,0.0,0
20-Mar-20,0.0,2,0.0,0,0.0,0
21-Mar-20,0.0,2,0.0,0,0.0,0
22-Mar-20,2.0,4,0.0,0,0.0,0
23-Mar-20,0.0,4,0.0,0,0.0,0
24-Mar-20,1.0,5,0.0,0,0.0,0
25-Mar-20,0.0,5,0.0,0,0.0,0
26-Mar-20,3.0,8,0.0,0,0.0,0
27-Mar-20,0.0,8,0.0,0,0.0,0
28-Mar-20,1.0,9,0.0,0,0.0,0
29-Mar-20,1.0,10,0.0,0,0.0,0
30-Mar-20,0.0,10,0.0,0,0.0,0
31-Mar-20,0.0,10,0.0,0,0.0,0
01-Apr-20,2.0,12,0.0,0,0.0,0
02-Apr-20,1.0,13,0.0,0,1.0,1
03-Apr-20,0.0,13,0.0,0,0.0,1
04-Apr-20,0.0,13,0.0,0,0.0,1
05-Apr-20,0.0,13,0.0,0,1.0,2
06-Apr-20,2.0,15,0.0,0,0.0,2
07-Apr-20,1.0,16,0.0,0,0.0,2
08-Apr-20,0.0,16,0.0,0,0.0,2
09-Apr-20,2.0,18,0.0,0,0.0,2
10-Apr-20,2.0,20,0.0,0,0.0,2
11-Apr-20,0.0,20,0.0,0,0.0,2
12-Apr-20,0.0,20,0.0,0,0.0,2
13-Apr-20,0.0,20,0.0,0,0.0,2
14-Apr-20,0.0,20,0.0,0,0.0,2
15-Apr-20,0.0,20,0.0,0,0.0,2
16-Apr-20,0.0,20,0.0,0,0.0,2
17-Apr-20,0.0,20,0.0,0,0.0,2
18-Apr-20,0.0,20,0.0,0,0.0,2
19-Apr-20,0.0,20,0.0,0,0.0,2
20-Apr-20,0.0,20,0.0,0,0.0,2
21-Apr-20,1.0,21,0.0,0,12.0,14
22-Apr-20,1.0,22,0.0,0,0.0,14
23-Apr-20,0.0,22,0.0,0,1.0,15
24-Apr-20,0.0,22,0.0,0,0.0,15
25-Apr-20,0.0,22,0.0,0,0.0,15
26-Apr-20,0.0,22,0.0,0,1.0,16
27-Apr-20,1.0,23,0.0,0,1.0,17
28-Apr-20,0.0,23,0.0,0,0.0,17
29-Apr-20,0.0,23,0.0,0,0.0,17
30-Apr-20,1.0,24,1.0,1,4.0,21
01-May-20,0.0,24,0.0,1,0.0,21
02-May-20,0.0,24,0.0,1,0.0,21
03-May-20,0.0,24,0.0,1,0.0,21
04-May-20,0.0,24,0.0,1,2.0,23
05-May-20,0.0,24,0.0,1,0.0,23
06-May-20,0.0,24,0.0,1,0.0,23
07-May-20,0.0,24,0.0,1,0.0,23
08-May-20,0.0,24,0.0,1,0.0,23
09-May-20,0.0,24,0.0,1,0.0,23
10-May-20,1.0,25,0.0,1,0.0,23
11-May-20,1.0,26,0.0,1,0.0,23
12-May-20,3.0,29,0.0,1,0.0,23
13-May-20,3.0,32,0.0,1,0.0,23
14-May-20,5.0,37,0.0,1,0.0,23
15-May-20,4.0,41,0.0,1,0.0,23
