Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,9,0,0,0,0
15-Mar-20,0,9,0,0,0,0
16-Mar-20,0,9,0,0,0,0
17-Mar-20,0,9,0,0,0,0
18-Mar-20,0,9,0,0,0,0
19-Mar-20,0,9,0,0,0,0
20-Mar-20,0,9,0,0,0,0
21-Mar-20,0,9,0,0,0,0
22-Mar-20,0,9,0,0,0,0
23-Mar-20,1,10,0,0,0,0
24-Mar-20,0,10,0,0,0,0
25-Mar-20,2,12,0,0,0,0
26-Mar-20,0,12,0,0,0,0
27-Mar-20,0,12,0,0,1,1
28-Mar-20,0,12,0,0,0,1
29-Mar-20,0,12,0,0,4,5
30-Mar-20,0,12,0,0,0,5
31-Mar-20,0,12,0,0,2,7
01-Apr-20,0,12,0,0,0,7
02-Apr-20,1,13,0,0,0,7
03-Apr-20,0,13,0,0,1,8
04-Apr-20,0,13,0,0,0,8
05-Apr-20,1,14,0,0,0,8
06-Apr-20,1,15,0,0,0,8
07-Apr-20,0,15,0,0,0,8
08-Apr-20,1,16,0,0,0,8
09-Apr-20,0,16,0,0,0,8
10-Apr-20,0,16,0,0,0,8
11-Apr-20,0,16,0,0,0,8
12-Apr-20,1,17,0,0,0,8
13-Apr-20,0,17,0,0,0,8
14-Apr-20,0,17,0,0,0,8
15-Apr-20,0,17,0,0,0,8
16-Apr-20,0,17,0,0,0,8
17-Apr-20,0,17,0,0,0,8
18-Apr-20,0,17,0,0,0,8
19-Apr-20,0,17,0,0,0,8
