Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,1,0,1,0,0
15-Mar-20,0,1,0,1,0,0
16-Mar-20,1,2,0,1,0,0
17-Mar-20,1,3,0,1,0,0
18-Mar-20,0,3,0,1,0,0
19-Mar-20,0,3,0,1,0,0
20-Mar-20,0,3,0,1,0,0
21-Mar-20,0,3,0,1,0,0
22-Mar-20,0,3,0,1,0,0
23-Mar-20,0,3,0,1,0,0
24-Mar-20,0,3,0,1,0,0
25-Mar-20,0,3,0,1,0,0
26-Mar-20,0,3,0,1,0,0
27-Mar-20,0,3,0,1,0,0
28-Mar-20,0,3,0,1,0,0
29-Mar-20,0,3,0,1,0,0
30-Mar-20,0,3,0,1,0,0
31-Mar-20,1,4,0,1,1,1
01-Apr-20,0,4,0,1,0,1
02-Apr-20,1,5,0,1,1,2
03-Apr-20,0,5,0,1,0,2
04-Apr-20,0,5,0,1,0,2
05-Apr-20,0,5,0,1,0,2
06-Apr-20,0,5,0,1,0,2
07-Apr-20,2,7,0,1,0,2
08-Apr-20,2,9,1,2,0,2
09-Apr-20,0,9,0,2,0,2
10-Apr-20,1,10,0,2,0,2
11-Apr-20,0,10,0,2,0,2
12-Apr-20,3,13,0,2,0,2
13-Apr-20,0,13,1,3,0,2
14-Apr-20,3,16,0,3,0,2
15-Apr-20,1,17,0,3,0,2
16-Apr-20,3,20,0,3,0,2
17-Apr-20,0,20,0,3,0,2
18-Apr-20,2,22,0,3,0,2
19-Apr-20,0,22,0,3,0,2
