Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,2,0,0,0,0
15-Mar-20,0,2,0,0,0,0
16-Mar-20,0,2,0,0,0,0
17-Mar-20,0,2,0,0,0,0
18-Mar-20,0,2,0,0,0,0
19-Mar-20,0,2,0,0,0,0
20-Mar-20,0,2,0,0,0,0
21-Mar-20,0,2,0,0,0,0
22-Mar-20,0,2,0,0,0,0
23-Mar-20,0,2,0,0,0,0
24-Mar-20,1,3,0,0,0,0
25-Mar-20,0,3,0,0,0,0
26-Mar-20,0,3,0,0,0,0
27-Mar-20,0,3,0,0,0,0
28-Mar-20,0,3,0,0,2,2
29-Mar-20,0,3,0,0,0,2
30-Mar-20,0,3,0,0,0,2
31-Mar-20,0,3,0,0,0,2
01-Apr-20,0,3,0,0,0,2
02-Apr-20,0,3,0,0,0,2
03-Apr-20,0,3,0,0,1,3
04-Apr-20,0,3,0,0,0,3
05-Apr-20,0,3,0,0,0,3
06-Apr-20,0,3,0,0,0,3
07-Apr-20,0,3,0,0,0,3
08-Apr-20,0,3,0,0,0,3
09-Apr-20,0,3,0,0,0,3
10-Apr-20,0,3,0,0,0,3
11-Apr-20,0,3,0,0,0,3
12-Apr-20,0,3,0,0,0,3
13-Apr-20,0,3,0,0,0,3
14-Apr-20,0,3,0,0,0,3
15-Apr-20,0,3,0,0,0,3
16-Apr-20,0,3,0,0,0,3
17-Apr-20,0,3,0,0,0,3
18-Apr-20,0,3,0,0,0,3
19-Apr-20,0,3,0,0,0,3
