Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,8,8,0,0,0,0
19-Mar-20,0,8,0,0,0,0
20-Mar-20,2,10,0,0,0,0
21-Mar-20,3,13,0,0,0,0
22-Mar-20,0,13,0,0,0,0
23-Mar-20,0,13,0,0,0,0
24-Mar-20,0,13,0,0,0,0
25-Mar-20,0,13,0,0,0,0
26-Mar-20,0,13,0,0,0,0
27-Mar-20,0,13,0,0,3,3
28-Mar-20,0,13,0,0,0,3
29-Mar-20,0,13,0,0,0,3
30-Mar-20,0,13,0,0,0,3
31-Mar-20,0,13,0,0,0,3
01-Apr-20,0,13,0,0,0,3
02-Apr-20,0,13,0,0,0,3
03-Apr-20,1,14,0,0,0,3
04-Apr-20,0,14,0,0,0,3
05-Apr-20,0,14,0,0,0,3
06-Apr-20,0,14,0,0,7,10
07-Apr-20,0,14,0,0,0,10
08-Apr-20,0,14,0,0,0,10
09-Apr-20,0,14,0,0,0,10
10-Apr-20,1,15,0,0,1,11
11-Apr-20,0,15,0,0,0,11
12-Apr-20,0,15,0,0,0,11
13-Apr-20,2,17,0,0,1,12
14-Apr-20,0,17,0,0,0,12
15-Apr-20,1,18,0,0,0,12
16-Apr-20,0,18,0,0,2,14
17-Apr-20,0,18,0,0,0,14
18-Apr-20,0,18,0,0,0,14
19-Apr-20,0,18,0,0,0,14
20-Apr-20,0,18,0,0,0,14
21-Apr-20,0,18,0,0,0,14
22-Apr-20,0,18,0,0,0,14
23-Apr-20,0,18,0,0,2,16
24-Apr-20,0,18,0,0,0,16
25-Apr-20,2,20,0,0,0,16
26-Apr-20,0,20,0,0,0,16
27-Apr-20,0,20,0,0,0,16
28-Apr-20,2,22,0,0,0,16
29-Apr-20,0,22,0,0,1,17
30-Apr-20,0,22,0,0,0,17
01-May-20,0,22,0,0,0,17
02-May-20,1,23,0,0,0,17
03-May-20,19,42,0,0,0,17
04-May-20,0,42,0,0,0,17
05-May-20,0,42,0,0,0,17
06-May-20,0,42,0,0,0,17
07-May-20,0,42,0,0,0,17
08-May-20,0,42,0,0,1,18
09-May-20,0,42,0,0,0,18
10-May-20,0,42,0,0,3,21
11-May-20,0,42,0,0,1,22
12-May-20,0,42,0,0,0,22
13-May-20,1,43,0,0,0,22
14-May-20,0,43,0,0,0,22
15-May-20,0,43,0,0,2,24
16-May-20,0,43,0,0,0,24
17-May-20,0,43,0,0,0,24
18-May-20,0,43,0,0,19,43
19-May-20,0,43,0,0,0,43
20-May-20,1,44,0,0,0,43
21-May-20,0,44,0,0,0,43
22-May-20,2,46,0,0,0,43
23-May-20,3,49,0,0,0,43
24-May-20,3,52,0,0,0,43
25-May-20,1,53,0,0,0,43
26-May-20,0,53,0,0,0,43
27-May-20,1,54,0,0,0,43
28-May-20,20,74,0,0,0,43
29-May-20,0,74,0,0,0,43
30-May-20,3,77,0,0,0,43
31-May-20,0,77,0,0,4,47
01-Jun-20,0,77,0,0,0,47
02-Jun-20,4,81,1,1,0,47
03-Jun-20,9,90,0,1,1,48
04-Jun-20,4,94,0,1,0,48
05-Jun-20,3,97,0,1,0,48
06-Jun-20,2,99,0,1,2,50
07-Jun-20,4,103,0,1,0,50
08-Jun-20,0,103,0,1,0,50
09-Jun-20,5,108,0,1,0,50
10-Jun-20,7,115,0,1,0,50
11-Jun-20,20,135,0,1,4,54
12-Jun-20,104,239,0,1,4,58
13-Jun-20,198,437,0,1,10,68
14-Jun-20,112,549,0,1,12,80
15-Jun-20,6,555,0,1,2,82
16-Jun-20,94,649,0,1,3,85
17-Jun-20,38,687,0,1,7,92
18-Jun-20,0,687,0,1,3,95
19-Jun-20,57,744,0,1,0,95
20-Jun-20,92,836,0,1,22,117
21-Jun-20,1,837,0,1,17,134
22-Jun-20,10,847,0,1,2,136
23-Jun-20,85,932,0,1,12,148
24-Jun-20,0,932,0,1,126,274
25-Jun-20,9,941,0,1,84,358
26-Jun-20,5,946,0,1,109,467
27-Jun-20,14,960,0,1,87,554
28-Jun-20,3,963,0,1,32,586
29-Jun-20,1,964,0,1,30,616
30-Jun-20,9,973,0,1,32,648
01-Jul-20,17,990,0,1,46,694
02-Jul-20,1,991,0,1,35,729
03-Jul-20,11,1002,0,1,47,776
04-Jul-20,3,1005,0,1,50,826
05-Jul-20,0,1005,0,1,0,826
06-Jul-20,0,1005,0,1,10,836
07-Jul-20,36,1041,0,1,24,860
08-Jul-20,6,1047,0,1,28,888
09-Jul-20,8,1055,0,1,27,915
10-Jul-20,9,1064,0,1,2,917
11-Jul-20,13,1077,0,1,11,928
