Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0.0,0.0,0.0,0.0,0.0
15-Mar-20,0.0,0.0,0.0,0.0,0.0,0.0
16-Mar-20,0.0,0.0,0.0,0.0,0.0,0.0
17-Mar-20,0.0,0.0,0.0,0.0,0.0,0.0
18-Mar-20,0.0,0.0,0.0,0.0,0.0,0.0
19-Mar-20,0.0,0.0,0.0,0.0,0.0,0.0
20-Mar-20,4.0,4.0,0.0,0.0,0.0,0.0
21-Mar-20,0.0,4.0,0.0,0.0,0.0,0.0
22-Mar-20,2.0,6.0,0.0,0.0,0.0,0.0
23-Mar-20,0.0,6.0,0.0,0.0,0.0,0.0
24-Mar-20,1.0,7.0,0.0,0.0,0.0,0.0
25-Mar-20,8.0,15.0,1.0,1.0,0.0,0.0
26-Mar-20,5.0,20.0,0.0,1.0,0.0,0.0
27-Mar-20,9.0,29.0,1.0,2.0,0.0,0.0
28-Mar-20,10.0,39.0,0.0,2.0,0.0,0.0
29-Mar-20,0.0,39.0,0.0,2.0,0.0,0.0
30-Mar-20,8.0,47.0,2.0,4.0,0.0,0.0
31-Mar-20,19.0,66.0,1.0,5.0,0.0,0.0
01-Apr-20,32.0,98.0,1.0,6.0,0.0,0.0
02-Apr-20,9.0,107.0,2.0,8.0,0.0,0.0
03-Apr-20,47.0,154.0,0.0,8.0,0.0,0.0
04-Apr-20,25.0,179.0,3.0,11.0,0.0,0.0
05-Apr-20,14.0,193.0,2.0,13.0,3.0,3.0
06-Apr-20,63.0,256.0,2.0,15.0,8.0,11.0
07-Apr-20,34.0,290.0,6.0,21.0,10.0,21.0
08-Apr-20,51.0,341.0,3.0,24.0,4.0,25.0
09-Apr-20,70.0,411.0,9.0,33.0,0.0,25.0
10-Apr-20,40.0,451.0,4.0,37.0,12.0,37.0
11-Apr-20,78.0,529.0,4.0,41.0,1.0,38.0
12-Apr-20,33.0,562.0,3.0,44.0,3.0,41.0
13-Apr-20,52.0,614.0,7.0,51.0,10.0,51.0
14-Apr-20,127.0,741.0,3.0,54.0,13.0,64.0
15-Apr-20,197.0,938.0,0.0,54.0,0.0,64.0
16-Apr-20,226.0,1164.0,2.0,56.0,6.0,70.0
17-Apr-20,146.0,1310.0,14.0,70.0,0.0,70.0
18-Apr-20,92.0,1402.0,0.0,70.0,57.0,127.0
19-Apr-20,5.0,1407.0,3.0,73.0,4.0,131.0
20-Apr-20,78.0,1485.0,4.0,77.0,7.0,138.0
21-Apr-20,67.0,1552.0,4.0,81.0,10.0,148.0
22-Apr-20,35.0,1587.0,0.0,81.0,4.0,152.0
23-Apr-20,100.0,1687.0,3.0,84.0,51.0,203.0
24-Apr-20,159.0,1846.0,9.0,93.0,7.0,210.0
25-Apr-20,99.0,1945.0,7.0,100.0,71.0,281.0
26-Apr-20,145.0,2090.0,4.0,104.0,21.0,302.0
27-Apr-20,75.0,2165.0,7.0,111.0,55.0,357.0
28-Apr-20,222.0,2387.0,10.0,121.0,16.0,373.0
29-Apr-20,173.0,2560.0,10.0,131.0,88.0,461.0
30-Apr-20,65.0,2625.0,7.0,138.0,21.0,482.0
01-May-20,90.0,2715.0,8.0,146.0,42.0,524.0
02-May-20,73.0,2788.0,6.0,152.0,100.0,624.0
03-May-20,49.0,2837.0,5.0,157.0,174.0,798.0
04-May-20,105.0,2942.0,9.0,166.0,58.0,856.0
05-May-20,107.0,3049.0,11.0,177.0,144.0,1000.0
06-May-20,89.0,3138.0,9.0,186.0,99.0,1099.0
07-May-20,114.0,3252.0,8.0,194.0,132.0,1231.0
08-May-20,89.0,3341.0,7.0,201.0,118.0,1349.0
09-May-20,116.0,3457.0,11.0,212.0,131.0,1480.0
10-May-20,157.0,3614.0,4.0,216.0,196.0,1676.0
11-May-20,171.0,3785.0,6.0,222.0,71.0,1747.0
12-May-20,201.0,3986.0,4.0,226.0,113.0,1860.0
13-May-20,187.0,4173.0,7.0,233.0,144.0,2004.0
14-May-20,253.0,4426.0,5.0,238.0,167.0,2171.0
15-May-20,169.0,4595.0,2.0,240.0,112.0,2283.0
