Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,1.0,1,0.0,0,0.0,0
23-Mar-20,0.0,1,0.0,0,0.0,0
24-Mar-20,0.0,1,0.0,0,0.0,0
25-Mar-20,1.0,2,0.0,0,0.0,0
26-Mar-20,0.0,2,0.0,0,0.0,0
27-Mar-20,1.0,3,0.0,0,0.0,0
28-Mar-20,0.0,3,0.0,0,0.0,0
29-Mar-20,0.0,3,0.0,0,0.0,0
30-Mar-20,0.0,3,0.0,0,0.0,0
31-Mar-20,0.0,3,0.0,0,0.0,0
01-Apr-20,0.0,3,0.0,0,0.0,0
02-Apr-20,5.0,8,0.0,0,0.0,0
03-Apr-20,0.0,8,0.0,0,0.0,0
04-Apr-20,7.0,15,0.0,0,0.0,0
05-Apr-20,3.0,18,0.0,0,0.0,0
06-Apr-20,43.0,61,0.0,0,0.0,0
07-Apr-20,24.0,85,0.0,0,0.0,0
08-Apr-20,9.0,94,0.0,0,0.0,0
09-Apr-20,4.0,98,0.0,0,0.0,0
10-Apr-20,18.0,116,0.0,0,0.0,0
11-Apr-20,15.0,131,0.0,0,0.0,0
12-Apr-20,3.0,134,0.0,0,0.0,0
13-Apr-20,8.0,142,0.0,0,0.0,0
14-Apr-20,16.0,158,0.0,0,0.0,0
15-Apr-20,9.0,167,0.0,0,0.0,0
16-Apr-20,29.0,196,0.0,0,0.0,0
17-Apr-20,1.0,197,0.0,0,0.0,0
18-Apr-20,0.0,197,0.0,0,0.0,0
19-Apr-20,0.0,197,0.0,0,0.0,0
20-Apr-20,0.0,197,0.0,0,0.0,0
21-Apr-20,88.0,285,7.0,7,35.0,35
22-Apr-20,18.0,303,0.0,7,0.0,35
23-Apr-20,20.0,323,0.0,7,38.0,73
24-Apr-20,37.0,360,2.0,9,0.0,73
25-Apr-20,28.0,388,0.0,9,31.0,104
26-Apr-20,27.0,415,0.0,9,0.0,104
27-Apr-20,13.0,428,3.0,12,35.0,139
28-Apr-20,30.0,458,1.0,13,0.0,139
29-Apr-20,25.0,483,1.0,14,23.0,162
30-Apr-20,25.0,508,1.0,15,0.0,162
01-May-20,18.0,526,0.0,15,21.0,183
02-May-20,0.0,526,0.0,15,29.0,212
03-May-20,6.0,532,0.0,15,25.0,237
04-May-20,31.0,563,0.0,15,0.0,237
05-May-20,8.0,571,1.0,16,51.0,288
06-May-20,34.0,605,4.0,20,29.0,317
07-May-20,47.0,652,2.0,22,1.0,318
08-May-20,27.0,679,2.0,24,36.0,354
09-May-20,25.0,704,5.0,29,23.0,377
10-May-20,39.0,743,1.0,30,16.0,393
11-May-20,31.0,774,3.0,33,24.0,417
12-May-20,30.0,804,1.0,34,43.0,460
13-May-20,54.0,858,1.0,35,28.0,488
14-May-20,42.0,900,0.0,35,21.0,509
15-May-20,26.0,926,0.0,35,16.0,525
